period,address,unit,area,building_type,work_type,value,lat,lng,permit_no
2016-01,106 Highway No. 8,,Stoney Creek,Dental Offices,Tenant Improve,500000,43.22375,-79.7476,15-130041-00 C3
2015-12,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Alteration,24000,43.22605,-79.84947,15-126744-00 G3
2015-12,1172 Wilson Street West,,Ancaster,Dental Offices,Alteration,30000,43.19662,-80.01994,15-127623-00 C3
2015-11,788 Upper Ottawa Street,,Hamilton,Medical Offices,Alteration,,43.21752,-79.83326,15-120289-01 C9
2015-11,556 Upper Wentworth Street,,Hamilton,Dental Offices,Alteration,80000,43.23449,-79.85742,15-123212-00 C9
2015-11,118 Market Street,,Hamilton,Nursing Homes,Backflow Preventer,9000,43.25947,-79.87479,15-124814-00 PPP
2015-11,419 Dundas Street East,,Flamborough,Medical Offices,Alteration,50000,43.34088,-79.88435,15-125475-00 C3
2015-11,41 South Street West,,Dundas,Nursing Homes,Alteration,24000,43.25986,-79.94927,15-126749-00 G3
2015-10,835 Paramount Drive,,Stoney Creek,Medical Offices,Alteration,250000,43.19269,-79.80681,15-117546-00 C3
2015-10,788 Upper Ottawa Street,,Hamilton,Medical Offices,Alteration,60000,43.21752,-79.83326,15-120289-00 C9
2015-10,145 Hamilton Street North,,Flamborough,Dental Offices,Alteration,3600,43.33378,-79.89961,15-121438-00 C3
2015-09,57 John Street West,,Flamborough,Nursing Homes,Alteration,2540,43.33516,-79.89811,15-112864-00 G3
2015-08,353 Isaac Brock Drive,,Stoney Creek,Nursing Homes,Alteration,95000,43.19355,-79.7895,15-116714-00 G3
2015-08,56 Governor's Road,,Dundas,Nursing Homes,Alteration,90000,43.26185,-79.95782,15-116964-00 G3
2015-08,288 Dundas Street East,,Flamborough,Medical Offices,Alteration,20000,43.33165,-79.89434,15-118251-00 C9
2015-07,1447 Upper Ottawa Street,,Hamilton,Medical Offices,Alteration,30000,43.19615,-79.84105,15-108988-00 C3
2015-07,153 Main Street West,,Hamilton,Dental Offices,Alteration,48251,43.25677,-79.87617,15-110985-00 C9
2015-07,329 Parkside Drive,,Flamborough,Nursing Homes,Alteration,55000,43.34116,-79.89957,15-113475-00 G3
2015-06,353 Isaac Brock Drive,,Stoney Creek,Nursing Homes,Addition (NR),4500000,43.19355,-79.7895,15-107024-00 G3
2015-06,360 Queenston Road,,Hamilton,Medical Offices,Alteration,30000,43.23305,-79.78843,15-108613-00 C9
2015-06,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Backflow Preventer,7700,43.22605,-79.84947,15-110732-00 PPP
2015-06,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Backflow Preventer,7700,43.22605,-79.84947,15-110734-00 PPP
2015-05,145 Hamilton Street North,,Flamborough,Dental Offices,Alteration,450000,43.33378,-79.89961,15-107314-00 C3
2015-05,353 Isaac Brock Drive,,Stoney Creek,Nursing Homes,Alteration,2000000,43.19355,-79.7895,15-111174-00 G3
2015-04,353 Isaac Brock Drive,,Stoney Creek,Nursing Homes,Addition (NR),500000,43.19355,-79.7895,14-124785-00 G3
2015-04,666 Upper James Street,,Hamilton,Medical Offices,Alteration,,43.23532,-79.87918,14-126392-00 C9
2015-04,279 Dundas Street East,,Flamborough,Dental Offices,Alteration,110000,43.3316,-79.89545,15-105674-00 C3
2015-02,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Addition (NR),5750000,43.22605,-79.84947,14-132346-00 G3
2015-02,15 Lockport Way,,Stoney Creek,Medical Offices,Alteration,50000,43.21833,-79.63348,14-134964-00 C3
2015-02,516 Centennial Parkway North,,Hamilton,Medical Offices,Alteration,90000,43.24209,-79.75632,15-102222-00 C3
2015-01,2537 Regional Road 56,,Glanbrook,Dental Offices,New Construction,,43.1245,-79.80218,14-133342-00 C3
2015-01,690 Main Street West,,Hamilton,Medical Offices,Alteration,20000,43.26019,-79.89818,14-136048-00 C3
2014-12,910 Queenston Road,,Stoney Creek,Dental Offices,Alteration,100000,43.22571,-79.756,14-131686-00 C3
2014-12,133 King Street West,,Dundas,Medical Offices,Alteration,13060,43.26702,-79.95953,14-133643-00 C3
2014-11,310 Beach Road,,Hamilton,Medical Offices,New Construction,1600000,43.25562,-79.81399,14-128551-00 C3
2014-11,282 Fennell Avenue West,,Hamilton,Laboratory - Commercial,Alteration,375000,43.24111,-79.89009,14-129823-00 C3
2014-11,2537 Regional Road 56,,Glanbrook,Medical Offices,New Construction,10000,43.1245,-79.80218,14-130941-00 C3
2014-10,70 Macklin Street North,,Hamilton,Nursing Homes,Alteration,113012,43.2644,-79.89509,14-126145-00 G3
2014-10,41 Brockley Drive,,Hamilton,Laboratory - Industrial,Alteration,50000,43.23648,-79.7476,14-130605-00 I3
2014-09,175 Longwood Road South,,Hamilton,Laboratory - Commercial,Alteration,,43.25689,-79.9009,14-118352-01 C3
2014-08,701 Main Street West,,Hamilton,Medical Offices,Alteration,100000,43.25975,-79.89757,14-118728-00 C3
2014-08,621 Barton Street,,Stoney Creek,Medical Offices,Alteration,110000,43.22318,-79.70175,14-122494-00 C3
2014-08,45 Lockton Crescent,,Hamilton,Nursing Homes,Alteration,106732,43.21156,-79.84743,14-123277-00 G3
2014-07,1144 Wilson Street West,,Ancaster,Medical Offices,Alteration,60000,43.197,-80.01851,13-109590-01 C3
2014-07,574 Upper James Street,,Hamilton,Medical Offices,Alteration,10000,43.24012,-79.87716,14-117461-00 C9
2014-07,175 Longwood Road South,,Hamilton,Laboratory - Commercial,Alteration,142900,43.25689,-79.9009,14-118352-00 C3
2014-07,311 Wilson Street East,,Ancaster,Medical Offices,Alteration,45000,43.22592,-79.97726,14-121510-00 C9
2014-06,200 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,92700,43.25572,-79.90231,14-118360-00 I3
2014-06,11 Mill Street South,,Flamborough,Dental Offices,Backflow Preventer,2900,43.33431,-79.89091,14-119407-00 PPP
2014-06,70 Macklin Street North,,Hamilton,Nursing Homes,Alteration,40000,43.2644,-79.89509,14-119440-00 G3
2014-05,35 Upper Centennial Parkway,,Stoney Creek,Medical Offices,Alteration,,43.17626,-79.77642,12-123262-01 C3
2014-05,11 Mill Street South,,Flamborough,Dental Offices,Alteration,15000,43.33431,-79.89091,13-119227-00 C9
2014-05,11 Mill Street South,,Flamborough,Dental Offices,Alteration,200000,43.33431,-79.89091,13-120557-00 C9
2014-05,70 Macklin Street North,,Hamilton,Nursing Homes,Backflow Preventer,2000,43.2644,-79.89509,13-121754-01 PPP
2014-05,415 King Street East,,Hamilton,Dental Offices,Alteration,200000,43.25343,-79.85689,14-100519-01 C9
2014-05,41 South Street West,,Dundas,Nursing Homes,New Construction,36000,43.25986,-79.94927,14-114450-00 G3
2014-05,35 Upper Centennial Parkway,,Stoney Creek,Dental Offices,Alteration,6000,43.17626,-79.77642,14-116233-00 C3
2014-04,321 Queenston Road,,Hamilton,Dental Offices,Alteration,20000,43.23398,-79.79001,13-120525-00 C9
2014-03,79 Lynden Road,,Flamborough,Medical Offices,Addition (NR),50000,43.23398,-80.14669,13-122153-00 C9
2014-03,385 Highland Road West,,Stoney Creek,Nursing Homes,Backflow Preventer,17105,43.18786,-79.80295,13-124271-00 PPP
2014-03,35 Upper Centennial Parkway,,Stoney Creek,Dental Offices,New Construction,130000,43.17626,-79.77642,14-100377-00 C3
2014-03,415 King Street East,,Hamilton,Dental Offices,Alteration,200000,43.25343,-79.85689,14-100519-00 C9
2014-03,642 Upper James Street,,Hamilton,Dental Offices,Alteration,50000,43.23704,-79.87842,14-101367-00 C9
2014-02,56 Governor's Road,,Dundas,Nursing Homes,Alteration,1750000,43.26185,-79.95782,14-100023-00 G3
2014-02,631 Queenston Road,,Hamilton,Dental Offices,Backflow Preventer,2500,43.23102,-79.77504,14-101431-00 PPP
2013-12,1423 Upper Ottawa Street,,Hamilton,Medical Offices,Alteration,168457,43.19751,-79.84051,13-120899-00 C3
2013-12,1320 Barton Street East,,Hamilton,Medical Offices,Alteration,1500000,43.24908,-79.80675,13-121297-00 C3
2013-12,70 Macklin Street North,,Hamilton,Nursing Homes,Backflow Preventer,2000,43.2644,-79.89509,13-121754-00 PPP
2013-12,15 Lockport Way,,Stoney Creek,Dental Offices,Alteration,140000,43.21833,-79.63348,13-122098-00 C3
2013-12,11 Rebecca Street,,Hamilton,Dental Offices,Alteration,15000,43.25842,-79.86764,13-122646-00 C3
2013-11,323 Wilson Street East,,Ancaster,Medical Offices,Backflow Preventer,5000,43.22635,-79.97693,12-111875-00 PPP
2013-11,3 Wilson Street East,,Ancaster,Medical Offices,Backflow Preventer,5000,43.21839,-79.9871,12-111886-00 PPP
2013-11,54 King Street East,,Stoney Creek,Medical Offices,Alteration,60000,43.21604,-79.75517,13-113032-01 C9
2013-11,419 Dundas Street East,,Flamborough,Dental Offices,Alteration,120000,43.34088,-79.88435,13-116634-00 C3
2013-11,62 King Street West,,Dundas,Medical Offices,Alteration,50000,43.26619,-79.95642,13-117085-00 C9
2013-11,849 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,65000,43.22185,-79.86106,13-119004-00 C3
2013-11,35 Upper Centennial Parkway,,Stoney Creek,Medical Offices,Alteration,10000,43.17626,-79.77642,13-121041-00 C3
2013-11,35 Upper Centennial Parkway,,Stoney Creek,Medical Offices,Alteration,10000,43.17626,-79.77642,13-121042-00 C3
2013-11,35 Upper Centennial Parkway,,Stoney Creek,Medical Offices,Alteration,10000,43.17626,-79.77642,13-121070-00 C3
2013-11,39 Mary Street,,Hamilton,Nursing Homes,Alteration,,43.25644,-79.86392,13-121427-00 G3
2013-10,35 Upper Centennial Parkway,,Stoney Creek,Medical Offices,Alteration,,43.17626,-79.77642,12-123262-00 C3
2013-10,54 King Street East,,Stoney Creek,Medical Offices,Alteration,60000,43.21604,-79.75517,13-113032-00 C9
2013-10,11 Rebecca Street,,Hamilton,Dental Offices,Alteration,160000,43.25842,-79.86764,13-114735-00 C3
2013-10,518 Centennial Parkway North,,Hamilton,Dental Offices,Alteration,230000,43.242,-79.75594,13-116720-00 C3
2013-10,35 Upper Centennial Parkway,,Stoney Creek,Medical Offices,Alteration,10000,43.17626,-79.77642,13-120949-00 C3
2013-09,311 Fruitland Road,,Stoney Creek,Dental Offices,Alteration,400000,43.22294,-79.70048,13-113833-00 C3
2013-09,849 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,100000,43.22185,-79.86106,13-113890-00 C3
2013-09,115 Hamilton Street North,,Flamborough,Medical Offices,Alteration,100000,43.3355,-79.90245,13-116523-00 C9
2013-09,21 Hatt Street,,Dundas,Nursing Homes,New Construction,6000,43.26501,-79.95512,13-117697-00 G3
2013-08,23 King Street East,,Dundas,Medical Offices,Alteration,86000,43.26604,-79.95229,13-110064-00 C3
2013-08,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Repair,82800,43.22605,-79.84947,13-113231-00 G3
2013-08,800 Queenston Road,,Stoney Creek,Medical Offices,Alteration,150000,43.22764,-79.76579,13-113256-00 C3
2013-08,849 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,6000,43.22185,-79.86106,13-113450-00 C3
2013-08,35 Upper Centennial Parkway,,Stoney Creek,Medical Offices,Alteration,100000,43.17626,-79.77642,13-113618-00 C3
2013-08,710 South Service Road,,Stoney Creek,Laboratory - Commercial,Backflow Preventer,3000,43.22805,-79.69211,13-113622-00 PPP
2013-07,277 Stone Church Road East,,Hamilton,Nursing Homes,New Construction,,43.20834,-79.87684,12-104685-01 G3
2013-07,710 South Service Road,,Stoney Creek,Laboratory - Commercial,Alteration,,43.22805,-79.69211,13-100493-01 C3
2013-07,330 Main Street East,,Hamilton,Nursing Homes,Alteration,6000,43.25178,-79.85687,13-109026-00 G3
2013-06,225 Bay Street South,,Hamilton,Dental Offices,Addition (NR),200000,43.25133,-79.87636,12-121143-00 C9
2013-06,726 Upper James Street,,Hamilton,Medical Offices,Alteration,200000,43.23127,-79.88118,13-107475-00 C9
2013-06,710 South Service Road,,Stoney Creek,Laboratory - Commercial,Alteration,21000,43.22805,-79.69211,13-108213-00 C3
2013-06,101 Creighton Road,,Dundas,Nursing Homes,Addition (NR),17000,43.2611,-79.968,13-108235-00 G3
2013-06,621 Barton Street,,Stoney Creek,Medical Offices,Alteration,40000,43.22318,-79.70175,13-108672-00 C3
2013-06,1144 Wilson Street West,,Ancaster,Medical Offices,Alteration,60000,43.197,-80.01851,13-109590-00 C3
2013-05,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,,43.25461,-79.90266,12-100152-01 I3
2013-05,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,152000,43.25461,-79.90266,12-121643-00 I3
2013-05,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,1500000,43.25461,-79.90266,13-100681-00 I3
2013-05,41 Bittern Street,,Ancaster,Laboratory - Industrial,Alteration,,43.19032,-80.02248,13-106704-00 I3
2013-05,125 Wentworth Street South,,Hamilton,Nursing Homes,Alteration,22525,43.24791,-79.85048,13-106822-00 G3
2013-04,604 Highway No. 8,,Stoney Creek,Dental Offices,Addition (NR),10000,43.21372,-79.70733,12-123270-00 C9
2013-04,41 Bittern Street,,Ancaster,Laboratory - Industrial,Alteration,2700000,43.19032,-80.02248,12-125068-00 I3
2013-04,70 Macklin Street North,,Hamilton,Nursing Homes,Alteration,45000,43.2644,-79.89509,13-102327-00 G3
2013-04,327 Queenston Road,,Hamilton,Medical Offices,Alteration,200000,43.23382,-79.78939,13-104955-00 C9
2013-03,88 Wentworth Street South,,Hamilton,Medical Offices,Alteration,8000,43.24981,-79.85029,12-125436-00 C9
2013-03,1423 Upper Ottawa Street,,Hamilton,Medical Offices,Alteration,160000,43.19751,-79.84051,12-125587-00 C3
2013-03,710 South Service Road,,Stoney Creek,Laboratory - Commercial,Alteration,500000,43.22805,-79.69211,13-100493-00 C3
2013-03,304 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,25000,43.26216,-79.85235,13-102428-00 C3
2013-03,804 Upper Gage Avenue,,Hamilton,Dental Offices,Repair,50000,43.21979,-79.84312,13-103970-00 C3
2013-03,330 Main Street East,,Hamilton,Nursing Homes,Alteration,25000,43.25178,-79.85687,13-103987-00 G3
2013-02,480 Stone Church Road East,,Hamilton,Dental Offices,Tenant Improve,40000,43.20574,-79.86906,12-121749-00 C3
2013-02,330 Main Street East,,Hamilton,Nursing Homes,Alteration,164000,43.25178,-79.85687,12-124787-00 G3
2013-02,42 Keefer Court,,Hamilton,Laboratory - Industrial,Alteration,50000,43.2445,-79.7603,12-125135-00 I3
2013-02,41 South Street West,,Dundas,Nursing Homes,New Construction,150000,43.25986,-79.94927,12-125642-00 G3
2013-02,52 Cannon Street West,,Hamilton,Dental Offices,Alteration,130000,43.26145,-79.86951,13-101144-00 C9
2013-02,70 Melvin Avenue,,Hamilton,Dental Offices,Backflow Preventer,2500,43.24428,-79.79393,13-101656-00 PPP
2013-02,526 Upper Paradise Road,,Hamilton,Nursing Homes,Backflow Preventer,8000,43.23181,-79.91367,13-103299-00 PPP
2013-01,188 Barton Street,,Stoney Creek,Medical Offices,Alteration,30000,43.23168,-79.73786,12-124274-00 C3
2013-01,521 Highway No. 8,,Stoney Creek,Medical Offices,Alteration,60000,43.21625,-79.71378,12-124509-00 C3
2013-01,1281 Mohawk Road,,Ancaster,Dental Offices,Backflow Preventer,5000,43.23351,-79.93217,12-124913-00 PPP
2013-01,516 Upper James Street,,Hamilton,Dental Offices,Backflow Preventer,1200,43.24222,-79.87627,12-125337-00 PPP
2013-01,575 Upper James Street,,Hamilton,Dental Offices,Backflow Preventer,3000,43.24034,-79.87635,12-125396-00 PPP
2012-12,289 York Boulevard,,Hamilton,Dental Offices,Alteration,50000,43.26237,-79.87704,12-118588-00 C9
2012-12,183 Hughson Street South,,Hamilton,Dental Offices,Backflow Preventer,3000,43.24996,-79.87036,12-124650-00 PPP
2012-12,47 Cootes Drive,,Dundas,Medical Offices,Backflow Preventer,4000,43.26568,-79.9458,12-124772-00 PPP
2012-12,47 Cootes Drive,,Dundas,Medical Offices,Backflow Preventer,4000,43.26568,-79.9458,12-124790-00 PPP
2012-11,183 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,49500,43.25601,-79.9011,12-121294-00 I3
2012-11,634 Stone Church Road West,,Hamilton,Medical Offices,Backflow Preventer,2000,43.21867,-79.91738,12-123439-00 PPP
2012-11,850 King Street East,,Hamilton,Dental Offices,Backflow Preventer,3000,43.2512,-79.84074,12-122845-00 PPP
2012-11,526 Upper Paradise Road,,Hamilton,Nursing Homes,Backflow Preventer,6520,43.23181,-79.91367,12-123146-00 PPP
2012-10,1036 Upper James Street,,Hamilton,Dental Offices,Alteration,50000,43.22157,-79.88503,10-190915-00 C9
2012-10,1144 Wilson Street West,,Ancaster,Medical Offices,Alteration,20000,43.197,-80.01851,12-116706-00 C3
2012-10,999 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,45000,43.21616,-79.8629,12-117395-00 C3
2012-10,4 King Street East,,Stoney Creek,Dental Offices,Backflow Preventer,7000,43.21661,-79.7577,12-119678-00 PPP
2012-10,183 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,47100,43.25601,-79.9011,12-119748-00 I3
2012-10,1288 Mohawk Road,,Ancaster,Medical Offices,Backflow Preventer,2500,43.2329,-79.93175,12-120137-00 PPP
2012-10,21 Parkdale Avenue South,,Hamilton,Dental Offices,Backflow Preventer,3000,43.23558,-79.79206,12-120142-00 PPP
2012-10,260 Nebo Road,,Hamilton,Medical Offices,Backflow Preventer,2400,43.19161,-79.83893,12-120216-00 PPP
2012-10,121 Hatt Street,,Dundas,Dental Offices,Backflow Preventer,2900,43.26618,-79.95928,12-120746-00 PPP
2012-10,231 King Street West,,Dundas,Dental Offices,Backflow Preventer,2900,43.2682,-79.96402,12-120750-00 PPP
2012-10,2273 Upper James Street,,Glanbrook,Medical Offices,Backflow Preventer,5000,43.18201,-79.90192,12-120778-00 PPP
2012-09,1262 Highway No. 8,,Stoney Creek,Dental Offices,Alteration,100000,43.20751,-79.65185,12-105177-01 C9
2012-09,101 Creighton Road,,Dundas,Nursing Homes,Addition (NR),,43.2611,-79.968,12-105384-01 G3
2012-09,198 Barton Street,,Stoney Creek,Medical Offices,New Construction,2200000,43.2316,-79.73696,12-114807-00 C3
2012-09,6 Sydenham Street,,Dundas,Dental Offices,Backflow Preventer,2900,43.26688,-79.95692,12-117682-00 PPP
2012-08,80 Queen Street North,,Hamilton,Nursing Homes,Alteration,29026,43.26135,-79.87753,12-113014-00 G3
2012-08,27 Legend Court,,Ancaster,Medical Offices,Alteration,100000,43.22747,-79.94919,12-113951-00 C3
2012-08,70 Macklin Street North,,Hamilton,Nursing Homes,New Construction,50000,43.2644,-79.89509,12-113982-00 G3
2012-08,111 Highway No. 8,,Stoney Creek,Medical Offices,Backflow Preventer,3000,43.22465,-79.74751,12-114520-00 PPP
2012-08,1493 Centre Road,,Flamborough,Medical Offices,Alteration,210000,43.39502,-79.98249,12-115173-00 C9
2012-08,1632 Upper James Street,,Hamilton,Dental Offices,Backflow Preventer,2000,43.20201,-79.89429,12-115260-00 PPP
2012-08,701 Main Street West,,Hamilton,Dental Offices,Alteration,1300,43.25975,-79.89757,12-115383-00 C3
2012-08,67 Kenilworth Avenue North,,Hamilton,Medical Offices,Backflow Preventer,2900,43.24247,-79.8094,12-115612-00 PPP
2012-08,99 Fiddler's Green Road,,Ancaster,Dental Offices,Backflow Preventer,2200,43.21632,-79.98645,12-117136-00 PPP
2012-07,1262 Highway No. 8,,Stoney Creek,Dental Offices,Alteration,100000,43.20751,-79.65185,12-105177-00 C9
2012-07,14 John Street North,,Hamilton,Medical Offices,Alteration,25000,43.25633,-79.86612,12-110602-00 C9
2012-07,183 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,77000,43.25601,-79.9011,12-111869-00 I3
2012-07,199 Glover Road,,Stoney Creek,Nursing Homes,Backflow Preventer,2500,43.21015,-79.68304,12-112216-00 PPP
2012-07,39 Mary Street,,Hamilton,Nursing Homes,Backflow Preventer,2500,43.25644,-79.86392,12-112221-00 PPP
2012-07,212 James Street South,,Hamilton,Dental Offices,Alteration,6500,43.25033,-79.87223,12-112791-00 C9
2012-06,538 Upper Wellington Street,,Hamilton,Medical Offices,Tenant Improve,100000,43.2395,-79.86672,12-107037-00 C3
2012-06,304 Victoria Avenue North,,Hamilton,Medical Offices,Tenant Improve,75000,43.26216,-79.85235,12-109095-00 C3
2012-06,1015 Golf Links Road,,Ancaster,Dental Offices,Alteration,100000,43.2281,-79.94075,12-109932-00 C3
2012-06,900 King Street East,,Hamilton,Medical Offices,Backflow Preventer,2000,43.25115,-79.83979,12-111081-00 PPP
2012-05,370 Main Street East,,Hamilton,Medical Offices,Alteration,,43.25137,-79.85521,11-120479-01 C3
2012-05,277 Stone Church Road East,,Hamilton,Nursing Homes,New Construction,50000,43.20834,-79.87684,12-104685-00 G3
2012-05,101 Creighton Road,,Dundas,Nursing Homes,Addition,200000,43.2611,-79.968,12-105384-00 G3
2012-05,1447 Upper Ottawa Street,,Hamilton,Medical Offices,Alteration,30000,43.19615,-79.84105,12-106751-00 C3
2012-05,1144 Wilson Street West,,Ancaster,Medical Offices,Alteration,100000,43.197,-80.01851,12-107339-00 C3
2012-05,1 Young Street,,Hamilton,Medical Offices,Backflow Preventer,4440,43.25137,-79.87101,12-107683-00 PPP
2012-05,570 King Street West,,Hamilton,Nursing Homes,Backflow Preventer,2500,43.26191,-79.88582,12-110059-00 PPP
2012-05,570 King Street West,,Hamilton,Nursing Homes,Backflow Preventer,2500,43.26191,-79.88582,12-110072-00 PPP
2012-04,2799 Barton Street East,,Hamilton,Dental Offices,Alteration,25000,43.23334,-79.74229,11-120684-00 C3
2012-04,2800 Library Lane,,Glanbrook,Nursing Homes,Backflow Preventer,,43.12237,-79.80218,11-121805-01 PPP
2012-04,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Alteration,40000,43.22605,-79.84947,11-122650-00 G3
2012-04,717 Woodward Avenue,,Hamilton,Laboratory - Industrial,Backflow Preventer,,43.25257,-79.77556,12-104371-01 PPP
2012-04,260 Nebo Road,,Hamilton,Medical Offices,Alteration,200000,43.19161,-79.83893,12-104675-00 C3
2012-04,125 Wentworth Street South,,Hamilton,Nursing Homes,Alteration,39862,43.24791,-79.85048,12-105499-00 G3
2012-04,1116 Barton Street East,,Hamilton,Dental Offices,Backflow Preventer,2300,43.25091,-79.81502,12-106080-00 PPP
2012-04,346 Upper Ottawa Street,,Hamilton,Dental Offices,Backflow Preventer,3000,43.23133,-79.82739,12-106773-00 PPP
2012-04,1493 Centre Road,,Flamborough,Medical Offices,Backflow Preventer,5000,43.39502,-79.98249,12-106784-00 PPP
2012-04,505 King Street West,,Hamilton,Medical Offices,Backflow Preventer,3000,43.26072,-79.88403,12-107341-00 PPP
2012-03,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,15884500,43.25461,-79.90266,12-100152-00 I3
2012-03,1043 King Street West,,Hamilton,Dental Offices,Alteration,150000,43.26132,-79.90673,12-102568-00 C9
2012-03,738 Upper James Street,,Hamilton,Medical Offices,Backflow Preventer,2300,43.23036,-79.8814,12-103096-00 PPP
2012-03,612 King Street West,,Hamilton,Medical Offices,Backflow Preventer,2430,43.26223,-79.88683,12-103811-00 PPP
2012-03,717 Woodward Avenue,,Hamilton,Laboratory - Industrial,Backflow Preventer,2000,43.25257,-79.77556,12-104371-00 PPP
2012-03,75 Main Street,,Dundas,Laboratory - Industrial,Backflow Preventer,4000,43.26364,-79.95176,12-104553-00 PPP
2012-03,678 Main Street East,,Hamilton,Medical Offices,Backflow Preventer,3000,43.24832,-79.84321,12-104643-00 PPP
2012-02,330 Main Street East,,Hamilton,Nursing Homes,Alteration,258000,43.25178,-79.85687,12-100468-00 G3
2012-02,604 Highway No. 8,,Stoney Creek,Dental Offices,Backflow Preventer,3100,43.21372,-79.70733,12-101072-00 PPP
2012-02,684 Main Street East,,Hamilton,Dental Offices,Backflow Preventer,2597,43.2482,-79.84273,12-101076-00 PPP
2012-02,259 Highway No. 8,,Stoney Creek,Medical Offices,Alteration,60000,43.22165,-79.73473,12-101160-00 C3
2012-02,82 King Street West,,Stoney Creek,Dental Offices,Backflow Preventer,2500,43.21888,-79.76546,12-101338-00 PPP
2012-02,500 Bendamere Avenue,,Hamilton,Laboratory - Industrial,Backflow Preventer,9500,43.23838,-79.90583,12-102084-00 PPP
2012-02,49 East Avenue South,,Hamilton,Dental Offices,Backflow Preventer,2500,43.25128,-79.85586,12-102172-00 PPP
2012-02,529 Concession Street,,Hamilton,Dental Offices,Backflow Preventer,2500,43.24134,-79.85291,12-102181-00 PPP
2012-01,450 Concession Street,,Hamilton,Laboratory - Commercial,Alteration,,43.24193,-79.85662,11-104593-01 C3
2012-01,391 Concession Street,,Hamilton,Medical Offices,Backflow Preventer,1850,43.2428,-79.8585,11-120042-00 PPP
2012-01,370 Main Street East,,Hamilton,Medical Offices,Alteration,300000,43.25137,-79.85521,11-120479-00 C3
2012-01,2800 Library Lane,,Glanbrook,Nursing Homes,Backflow Preventer,3000,43.12237,-79.80218,11-121805-00 PPP
2012-01,460 Main Street East,,Hamilton,Medical Offices,Backflow Preventer,3000,43.25044,-79.85194,11-122084-00 PPP
2012-01,101 Creighton Road,,Dundas,Nursing Homes,Backflow Preventer,5000,43.2611,-79.968,11-122769-00 PPP
2012-01,3015 Binbrook Road,,Glanbrook,Medical Offices,Tenant Improve,55700,43.12078,-79.80519,11-122861-00 C3
2012-01,1392 Main Street East,,Hamilton,Dental Offices,Backflow Preventer,1400,43.2403,-79.81029,11-122962-00 PPP
2012-01,1307 Highway No. 8,,Stoney Creek,Medical Offices,Backflow Preventer,2500,43.20786,-79.64812,11-123399-00 PPP
2012-01,841 Upper Wentworth Street,,Hamilton,Dental Offices,Backflow Preventer,1977,43.22202,-79.86179,12-100404-00 PPP
2012-01,71 Emerald Street South,,Hamilton,Dental Offices,Backflow Preventer,3500,43.25051,-79.85484,12-101181-00 PPP
2012-01,17 Queen Street South,,Hamilton,Dental Offices,Backflow Preventer,,43.25871,-79.87862,12-101319-00 PPP
2012-01,340 York Boulevard,,Hamilton,Dental Offices,Backflow Preventer,3000,43.26407,-79.87858,12-102253-00 PPP
2011-12,3200 Regional Road 56,,Glanbrook,Dental Offices,Alteration,200000,43.11529,-79.80745,11-118664-00 C3
2011-12,460 Main Street East,,Hamilton,Dental Offices,Backflow Preventer,3000,43.25044,-79.85194,11-121227-00 PPP
2011-12,1770 King Street East,,Hamilton,Medical Offices,Backflow Preventer,2000,43.23217,-79.81218,11-122827-00 PPP
2011-11,2668 Binbrook Road,,Glanbrook,Medical Offices,Alteration,60000,43.1209,-79.80388,11-115339-00 C3
2011-11,175 Longwood Road South,,Hamilton,Laboratory - Commercial,Alteration,41600,43.25689,-79.9009,11-117882-00 C3
2011-11,201 Wilson Street East,,Ancaster,Dental Offices,Backflow Preventer,2500,43.22308,-79.97989,11-120385-00 PPP
2011-11,17 Queen Street South,,Hamilton,Dental Offices,Backflow Preventer,2000,43.25871,-79.87862,11-120992-00 PPP
2011-11,1361 Main Street East,,Hamilton,Dental Offices,Backflow Preventer,2000,43.24105,-79.81154,11-121489-00 PPP
2011-11,1 Hayden Street,,Hamilton,Dental Offices,Backflow Preventer,2000,43.22789,-79.87902,11-121492-00 PPP
2011-11,206 Main Street West,,Hamilton,Dental Offices,Backflow Preventer,2000,43.25774,-79.87833,11-121494-00 PPP
2011-11,366 Main Street East,,Hamilton,Dental Offices,Backflow Preventer,2700,43.25142,-79.85544,11-121496-00 PPP
