period,address,unit,area,building_type,work_type,value,lat,lng,permit_no
2025-12,188 Barton Street,,Stoney Creek,Dental Offices,Alteration,100000,43.23168,-79.73786,25-103343 C3
2025-12,370 Main Street East,,Hamilton,Dental Offices,Alteration,,43.25137,-79.85521,25-102105-01 C3
2025-12,910 Queenston Road,,Stoney Creek,Medical Offices,Alteration,146880,43.22571,-79.756,25-103852 C9
2025-11,578 Upper James Street,,Hamilton,Dental Offices,Alteration,300000,43.23999,-79.87721,25-103803 C9
2025-11,42 King Street East,,Stoney Creek,Medical Offices,Alteration,,43.21612,-79.75621,25-100702-01 C9
2025-10,653 Barton Street East,,Hamilton,Dental Offices,Alteration,723300,43.25694,-79.83725,25-102795 C3
2025-10,2579 King Street East,,Hamilton,Medical Offices,Alteration,15000,43.22381,-79.78344,24T-5014 C9
2025-10,312 Grays Road,,Hamilton,Medical Offices,Alteration,116220,43.23197,-79.74019,25-102842 C3
2025-10,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Alteration,307870,43.22605,-79.84947,25-102242 G3
2025-10,554 John Street North,,Hamilton,Medical Offices,Alteration,150000,43.27275,-79.85836,25-103745 C3
2025-10,135 King Street East,,Dundas,Laboratory - Industrial,Alteration,750000,43.26712,-79.94385,24-7643 I9
2025-10,232 Cannon Street East,,Hamilton,Medical Offices,Alteration,50000,43.25799,-79.85673,25-103841 C3
2025-10,10 Governor's Road,,Dundas,Medical Offices,Addition,,43.26278,-79.95375,24T-4764-01 C9
2025-09,50 Dundurn Street South,,Hamilton,Dental Offices,Alteration,275000,43.26135,-79.88939,25-103009 C3
2025-09,233 King Street East,,Hamilton,Medical Offices,Alteration,,43.25461,-79.86222,23T-134576-01 C3
2025-09,232 Cannon Street East,,Hamilton,Medical Offices,Alteration,,43.25799,-79.85673,25-101470-01 C3
2025-09,323 Upper Wentworth Street,,Hamilton,Dental Offices,Alteration,85000,43.24154,-79.85335,25-102044 C3
2025-09,2255 Barton Street East,,Hamilton,Medical Offices,Alteration,15000,43.23971,-79.77096,25-103217 C3
2025-09,461 Green Road,,Stoney Creek,Dental Offices,Alteration,5000,43.23962,-79.72574,25-103369 C3
2025-09,370 Main Street East,,Hamilton,Medical Offices,Alteration,700000,43.25137,-79.85521,25-102105 C3
2025-09,1096 Barton Street East,,Hamilton,Dental Offices,Alteration,20000,43.25103,-79.81555,25-103105 C3
2025-08,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,25000,43.25461,-79.90266,25-102176-01 I3
2025-08,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,450000,43.25461,-79.90266,25-101350 I3
2025-08,42 King Street East,,Stoney Creek,Medical Offices,Alteration,150000,43.21612,-79.75621,25-100702 C9
