issue_date,year,month_number,permit_date,job_category,address,legal_description,neighbourhood,neighbourhood_numberr,job_description,building_type,work_type,floor_area,construction_value,zoning,units_added,latitude,longitude,location,count,house_number
2018-01-23T00:00:00.000,2018,1,2018-01-23T00:00:00.000,Commercial Final,10240 - KINGSWAY NW,Plan 1619KS Blk 2 Lot 313,CENTRAL MCDOUGALL,1030,To Construct interior alterations to an existing clinic and to include Mechanical & Electrical upgrades. Rah Eye Clinic Main Floor Royal Alexandra Hospital,"Clinics, Health Units (642)",(03) Interior Alterations,4467,408000,"US, UF",0,53.5576021800969,-113.49789453631885,,1,
2018-01-18T00:00:00.000,2018,1,2018-01-18T00:00:00.000,Commercial Final,"305, 10430 - 61 AVENUE NW",Plan 4976KS Blk 40 Lot 2,ALLENDALE,5010,"To Construct interior alterations for a health services space to an existing commercial building shell. Isaac Physiotherapy, suite #305",Office Buildings (520),(03) Interior Alterations,1609.2,100000,CG,0,53.49862827252241,-113.49950807483255,,1,
2018-01-17T00:00:00.000,2018,1,2018-01-17T00:00:00.000,Commercial Final,5069 - ELLERSLIE ROAD SW,Plan 1422177 Blk 30 Lot 3,WALKER,6662,"To construct original tenant fit-up to a tenant space at Buidling 10 of Harvest Pointe (""Harvest Pointe Chiropractic and Integrative Health Centre Corp"").",Office Buildings (520),(03) Interior Alterations,1049,60000,DC1,0,53.42378822326454,-113.42020828770451,,1,
2018-01-16T00:00:00.000,2018,1,2018-01-16T00:00:00.000,Commercial Final,11980 - 104 AVENUE NW,Plan 1425753 Blk 21 Lot 2,WÎHKWÊNTÔWIN,1151,To Construct interior alterations in an existing shell CRU space.  FYidoctors (opthamologists).,Office Buildings (520),(03) Interior Alterations,3330,300000,DC1,0,53.54712597621243,-113.52826944549822,,1,
2018-01-16T00:00:00.000,2018,1,2018-01-16T00:00:00.000,Commercial Final,2787 - 119A STREET SW,Plan 1522818 Blk 3 Lot 2,HERITAGE VALLEY TOWN CENTRE,5472,"To construct original tenant fit-up to a shell vacant space at Building 2 of Heritage Valley Town Centre (""Heritage Valley Dental"").",Office Buildings (520),(03) Interior Alterations,3004.96,450000,TC-C,0,53.40716333340254,-113.53596090028732,,1,
2018-01-14T00:00:00.000,2018,1,2018-01-14T00:00:00.000,Commercial Final,3919 - 106 STREET NW,Plan 4082RS Blk 9 Lot A,DUGGAN,5160,To change the Use from a General Retail Store to a Health Service (medical clinic) and a General Retail Store (pharmacy) and to construct interior alterations.,Office Buildings (520),(03) Interior Alterations,2235,247000,CN,0,53.47513974452293,-113.50472609457134,,1,
2018-01-10T00:00:00.000,2018,1,2018-01-10T00:00:00.000,Commercial Final,294 - SADDLEBACK ROAD NW,Plan 1523167 Unit 2,BLUE QUILL,5060,"To Construct interior alterations to an existing health services (Dental Clinic) adding Denture office space, new int. partitions, arch. finishes. Blue Quill Denture",Office Buildings (520),(03) Interior Alterations,770,36000,CG,0,53.4610961204179,-113.52996293553699,,1,
2018-01-09T00:00:00.000,2018,1,2018-01-09T00:00:00.000,Commercial Final,829 - SADDLEBACK ROAD NW,Plan 7822821 Blk 26 Lot 83,SKYRATTLER,5460,"To construct interior alterations to a tenant space at an existing multi-use commercial building (""Yellowbird Dental"").",Office Buildings (520),(03) Interior Alterations,2370,246432,CN,0,53.453190616034924,-113.52478372713789,,1,
2018-01-08T00:00:00.000,2018,1,2018-01-08T00:00:00.000,Commercial Final,1504 - 91 STREET SW,Condo Common Area (Plan 1623793),ELLERSLIE INDUSTRIAL,6214,To construct interior alterations to a shell space in an existing office building for a medical office tenant fit up. Third floor - Dr Udeme Akpan - One Health Centre,Office Buildings (520),(03) Interior Alterations,1575,87835,EIB,0,53.41901888259273,-113.47947159201162,,1,
2018-01-02T00:00:00.000,2018,1,2018-01-02T00:00:00.000,Commercial Final,"206, 14127 - 23 AVENUE NW",Plan 0625889 Blk 2 Lot 97B,MAGRATH HEIGHTS,5476,"To change the Use from Professional, Financial and Office Support Services to Health Services (physiotherapy office), and construct interior alterations.",Office Buildings (520),(03) Interior Alterations,2099,71500,"CG, CG",0,53.45312262501477,-113.56287396758091,,1,
2017-12-20T00:00:00.000,2017,12,2017-12-20T00:00:00.000,Commercial Final,10110 - 156 STREET NW,Plan 1924AM Blk 1 Lots 1-2,BRITANNIA YOUNGSTOWN,4060,To construct an interior alteration to a unit of General Retail (main floor). Health Service (clinic) and Pharmacy tenant. (Corner Pharmacy),Retail and Shops (510),(03) Interior Alterations,3000,27000,MU,0,53.54198550849714,-113.59080829555322,,1,
2017-12-17T00:00:00.000,2017,12,2017-12-17T00:00:00.000,Commercial Final,13650 - 50 STREET NW,Plan 9320792 Blk 25 Lot 5,KENNEDALE INDUSTRIAL,2380,"To construct interior alterations to the existing hearing centre,  pharmacy and optical centre within existing E Occupancy.  COSTCO",Office Buildings (520),(03) Interior Alterations,,340630,BE,0,53.5961125181207,-113.4165279586032,,1,
2017-12-15T00:00:00.000,2017,12,2017-12-15T00:00:00.000,Commercial Final,"407, 11010 - 101 STREET NW","Plan 8222283 Blk 1 Lots 319B,319C",CENTRAL MCDOUGALL,1030,To Construct interior alterations to an existing health services space. Chest Care Clinic,Office Buildings (520),(03) Interior Alterations,2504,50000,"DC2, MU, MU",0,53.55753988764228,-113.4945432528676,,1,
2017-12-08T00:00:00.000,2017,12,2017-12-08T00:00:00.000,Commercial Final,16811 - 110 AVENUE NW,"Plan 2477KS Blk 6 Lots 6,18U",WEST SHEFFIELD INDUSTRIAL,4600,To change the Use from industrial to Animal Hospitals and Shelters and to construct interior alterations (renovating washroom to meet the barrier-free code requirements). Infinite Pawsibilities,Animal and Plant Services (410),(03) Interior Alterations,45,7000,IM,0,53.557314420480566,-113.6122472550207,,1,
2017-12-06T00:00:00.000,2017,12,2017-12-06T00:00:00.000,Commercial Final,"9, 17480 - FORT ROAD NW",Plan 8620880 Blk 1,RURAL NORTH EAST HORSE HILL,2670,To Construct interior alterations for (2) office spaces to an existing medical facility building. ( NVCI & PSCC at AHS),Office Buildings (520),(03) Interior Alterations,1804,238000,DC2,0,53.63667921143327,-113.37529857720254,,1,
2017-11-30T00:00:00.000,2017,11,2017-11-30T00:00:00.000,Commercial Final,1065 - WALKOWSKI PLACE NW,Plan 1521674 Blk 6 Lot 106,WINDERMERE,5570,"To construct interior alterations to a Single Detached House (Basement development, NOT to be used as an additional Dwelling).  Developing home based Dental Hygiene business.  Jasmine Dental Hygiene",Single House (110),(10) Convert Residential to Non-Res,,47000,RSF,0,53.44068807480952,-113.6227076138131,,1,
2017-11-29T00:00:00.000,2017,11,2017-11-29T00:00:00.000,Commercial Final,"201, 2377 - 111 STREET NW",Plan 0523447 Blk 32 Lot 12,ERMINESKIN,5180,"To Construct exterior and interior alterations for replacement of existing MRI machine. 2nd floor, MIC Clinic","Clinics, Health Units (642)",(03) Exterior Alterations,330.45,500000,DC2,0,53.4550327775717,-113.51443519119627,,1,
2017-11-28T00:00:00.000,2017,11,2017-11-28T00:00:00.000,Commercial Final,10106 - 156 STREET NW,Plan 1924AM Blk 1 Lots 1-2,BRITANNIA YOUNGSTOWN,4060,"To construct interior alterations at the JP Center (Health service clinic, CRU A).",Office Buildings (520),(03) Interior Alterations,1400,140000,MU,0,53.54198550849714,-113.59080829555322,,1,
2017-11-28T00:00:00.000,2017,11,2017-11-28T00:00:00.000,Commercial Final,"420, 1 - WESTMOUNT SHOPPING CENTRE NW",Plan 5079HW Blk 20,WOODCROFT,3450,To construct interior alterations to an existing health services space (expand into adjacent bay) - Westmount Dental Centre.,Office Buildings (520),(03) Interior Alterations,742,15000,MU,0,53.561286004078795,-113.55356990068994,,1,
2017-11-23T00:00:00.000,2017,11,2017-11-23T00:00:00.000,Commercial Final,10503 - 109 STREET NW,Plan B4 Blk 8 Lots 159-163,CENTRAL MCDOUGALL,1030,To change the use from retail to a health service (Group E to D) and to construct interior alterations - University Health Centre.,Office Buildings (520),(03) Interior Alterations,13228.8,2530000,MU,0,53.548688191435254,-113.50787790768051,,1,
2017-11-22T00:00:00.000,2017,11,2017-11-22T00:00:00.000,Commercial Final,10608 - 105 AVENUE NW,Plan B4 Blk 6 Lots 193-195,CENTRAL MCDOUGALL,1030,"To construct interior alterations to an existing commercial building (""MacEwan Pharmacy""; changing occupancy from A2 to E).",Retail and Shops (510),(03) Interior Alterations,2433.75,25000,DC,0,53.548083473278886,-113.50347072738522,,1,
2017-11-22T00:00:00.000,2017,11,2017-11-22T00:00:00.000,Commercial Final,3731 - 8 AVENUE SW,Plan 1623687 Blk 6 Lot 1,CHARLESWORTH,6661,To change the Use from General Retail Stores to Health Services and to construct interior alterations to a Commercial building.  Tenant fit up - Dental Clinic - CRU#6),Office Buildings (520),(03) Interior Alterations,1902,198000,DC1,0,53.42541487491253,-113.39856087385436,,1,
2017-11-21T00:00:00.000,2017,11,2017-11-21T00:00:00.000,Commercial Final,"301, 6040 - ANDREWS WAY SW",Plan 1524442 Blk 20 Lot 89,AMBLESIDE,5505,To construct interior alterations to an existing shell commercial retail/offices use building  - Windermere Gate Medical. Tenant fit up of the entire third floor and new washrooms on the main and second floors. PMEC,Office Buildings (520),(03) Interior Alterations,5554,600000,DC1,0,53.4302324470528,-113.59237022945297,,1,
2017-11-15T00:00:00.000,2017,11,2017-11-15T00:00:00.000,Commercial Final,"100, 10350 - 172 STREET NW",Plan 8021656 Blk 10 Lot 12,STONE INDUSTRIAL,4510,To construct interior alteratons to an existing Health Services space (2nd floor only). (Radiology Clinic),"Clinics, Health Units (642)",(03) Interior Alterations,3000,44000,BE,0,53.54662402155038,-113.61832961709737,,1,
2017-11-09T00:00:00.000,2017,11,2017-11-09T00:00:00.000,Commercial Final,"201, 14127 - 23 AVENUE NW",Plan 0625889 Blk 2 Lot 97B,MAGRATH HEIGHTS,5476,"To Construct Interior Alterations, Tenant fit up for Hearing Care Med. Clinic (D Occupancy), including construction of West demising wall in suite)",Office Buildings (520),(03) Interior Alterations,920,32000,"CG, CG",0,53.45312262501477,-113.56287396758091,,1,
2017-11-08T00:00:00.000,2017,11,2017-11-08T00:00:00.000,Commercial Final,5594 - WINDERMERE BOULEVARD NW,Plan 1722192 Unit 318,WINDERMERE,5570,To construct interior alterations to a shell CRU to build out a pharmacy.,Retail and Shops (510),(03) Interior Alterations,756,65000,DC2,0,53.4399400259455,-113.61938689822286,,1,
2017-11-08T00:00:00.000,2017,11,2017-11-08T00:00:00.000,Commercial Final,"135, 3210 - 118 AVENUE NW",Plan 8820078 Blk 12 Lot 3,ABBOTTSFIELD,2010,"To construct interior alterations to a Health Service with accessory general retail (pharmacy), ""Abbottsfield Medical Clinic and Pharmacy"".",Office Buildings (520),(03) Interior Alterations,5145,580000,"RA8, CSC, MU",0,,,,1,
2017-11-07T00:00:00.000,2017,11,2017-11-07T00:00:00.000,Commercial Final,6643 - 177 STREET NW,Plan 8320631 Blk 9 Lot 8,CALLINGWOOD SOUTH,4080,"To construct interior alterations to an existing multi-use commercial building in Callingwood (""Edmonton Diagnostic Imaging"").","Clinics, Health Units (642)",(03) Interior Alterations,1981,154692,CG,0,53.50268845425715,-113.62579325595202,,1,
