city_file_number,permit_type,permit_class,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,ward,bia,land_parcel_count,latitude,longitude,location,geometry_point,neighbourhood_classification,zoning,permit_date
521016061-002,Major Development Permit,Discretionary Development,Approved,"To change the use from Indoor Participant Recreation Service to an Indoor Sales and Service in the form of a Convenience Retail Store and Health Service (pharmacy and medical clinic) and to construct an interior addition and alterations (expanded mezzanine floor)
*** exterior alterations - new exterior door ***",2931 - ELLWOOD DRIVE SW,Plan 0920863 Unit 19,6214,ELLERSLIE INDUSTRIAL,Karhiio Ward,,3,53.42882448354588,-113.47842567929268,,"{'type': 'Point', 'coordinates': [-113.47842567929268, 53.42882448354588]}",Industrial,EIB,2024-07-30T00:00:00.000
516102620-002,Major Development Permit,Permitted Development,Approved,"To place on site, a Temporary Accessory Building, limited to an animal hospital and shelter (3 years)",12515 - 128 STREET NW,Plan 2090AH Blk 37 Lots 25-32,3220,HAGMANN ESTATE INDUSTRIAL,Anirniq Ward,,3,53.58179165258246,-113.54238532283728,,"{'type': 'Point', 'coordinates': [-113.54238532283728, 53.58179165258246]}",Industrial,IM,2024-07-26T00:00:00.000
509704821-002,Major Development Permit,Permitted Development,Approved,"To construct a third floor addition and rear expansion to the existing building, and interior and exterior alterations, and to operate a Health Service (Stafford Medical Clinic).

Rowley advised that DP Notice Sign is not required",6011 - 120 AVENUE NW,Plan 2693HW Blk S Lot 6,2550,MONTROSE,Métis Ward,,3,53.573268601384996,-113.43430272400045,,"{'type': 'Point', 'coordinates': [-113.43430272400045, 53.573268601384996]}",Redeveloping,DC2,2024-07-23T00:00:00.000
518559820-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia Sign(s) limited to On-premises Advertising (109 DENTAL),"204, 7125 - 109 STREET NW",Plan 5718AE Blk 21 Lot 3,5330,QUEEN ALEXANDRA,papastew Ward,,3,53.50820465484614,-113.51141006486294,,"{'type': 'Point', 'coordinates': [-113.51141006486294, 53.50820465484614]}",,MU,2024-07-19T00:00:00.000
517824400-002,Major Development Permit,Permitted Development,Approved,To construct Exterior Alterations to a Residential and Extended Medical Treatment Services Use building in the form of constructing two Accessory buildings (gazebo and pergola) and revising the landscape plan.,18333 - LESSARD ROAD NW,Condo Common Area (Plan 1223097),4120,DONSDALE,sipiwiyiniwak Ward,,3,53.48376607101984,-113.64251814479812,,"{'type': 'Point', 'coordinates': [-113.64251814479812, 53.48376607101984]}",Developing,DC,2024-07-19T00:00:00.000
513725175-002,Sign Permit,Not Available,Approved,To install a Projecting Sign not in the form of a Roof Sign limited to On-premises Advertising (Glenora Circle Dental),10716 - 142 STREET NW,Plan 2599KS Blk 12 Lot 1,3300,MCQUEEN,Nakota Isga Ward,,3,53.55177601898066,-113.566985454146,,"{'type': 'Point', 'coordinates': [-113.566985454146, 53.55177601898066]}",,DC2 181,2024-07-17T00:00:00.000
500826845-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia Sign limited to On-premises Advertising (OPTOMETRISTS' CLINIC),12318 - JASPER AVENUE NW,Plan RN22 Blk 19 Lot 17,1151,WÎHKWÊNTÔWIN,O-day'min Ward,124 Street and Area,3,53.541748745540644,-113.53512465690136,,"{'type': 'Point', 'coordinates': [-113.53512465690136, 53.541748745540644]}",,MU,2024-07-10T00:00:00.000
509793174-002,Sign Permit,Not Available,Approved,To revise a Comprehensive Sign Design Plan for (NORTH DISTRICT)(CSDP  506413861-002) (PLATINUM MEDICAL SPA),12844 - 97 STREET NW,Condo Common Area (Plan 2221739),3260,LAUDERDALE,Anirniq Ward,,6,53.58700561015911,-113.49268636412278,,"{'type': 'Point', 'coordinates': [-113.49268636412278, 53.58700561015911]}",,MU,2024-07-09T00:00:00.000
517261701-002,Sign Permit,Permitted Development,Approved,To install a Fascia Sign limited to On-premises Advertising (Prairies Vet Dental Services),10822 - 124 STREET NW,Plan RN22 Blk 27 Lot 14,3440,WESTMOUNT,O-day'min Ward,124 Street and Area,3,53.55327721834085,-113.53641590634643,,"{'type': 'Point', 'coordinates': [-113.53641590634643, 53.55327721834085]}",,MU,2024-07-09T00:00:00.000
506722841-002,Sign Permit,Permitted Development,Approved,To install a Fascia Sign limited to On-premises Advertising (109TH PHARMACY CLINIC),10705 - 109 STREET NW,Plan 3942MC Blk 8 Lot 179,1030,CENTRAL MCDOUGALL,O-day'min Ward,North Edge,3,53.551727610206825,-113.50787348202599,,"{'type': 'Point', 'coordinates': [-113.50787348202599, 53.551727610206825]}",,,2024-07-08T00:00:00.000
508775719-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia Sign(s) limited to On-premises Advertising (Remedy'sRX Shepherd Pharmacy),244 - 91 STREET SW,Plan 1122206 Unit 2,6214,ELLERSLIE INDUSTRIAL,Karhiio Ward,,3,53.431481523912055,-113.46935141615151,,"{'type': 'Point', 'coordinates': [-113.46935141615151, 53.431481523912055]}",,CG,2024-07-04T00:00:00.000
516911586-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia Sign(s) limited to On-premises Advertising (Yellowbird Dental),829 - SADDLEBACK ROAD NW,Plan 7822821 Blk 26 Lot 83,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,,3,53.453189088657055,-113.52478521455045,,"{'type': 'Point', 'coordinates': [-113.52478521455045, 53.453189088657055]}",,CN,2024-07-04T00:00:00.000
516121724-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia Sign(s) limited to On-premises Advertising (Asperia Medical Clinic),7471 - 101 AVENUE NW,Plan 6083KS Blk 14A Lot 32,6730,TERRACE HEIGHTS,Métis Ward,,3,53.54070923344108,-113.44218061701939,,"{'type': 'Point', 'coordinates': [-113.44218061701939, 53.54070923344108]}",,MU,2024-06-26T00:00:00.000
509162243-002,Sign Permit,Permitted Development,Approved,To install a Fascia Sign limited to On-premises Advertising (Millwoods Mainstreet Dental Office),6420 - 28 AVENUE NW,Plan 8220154 Blk 5 Lot 4,6720,TAWA,Karhiio Ward,,3,53.459582010786676,-113.43158873026417,,"{'type': 'Point', 'coordinates': [-113.43158873026417, 53.459582010786676]}",,DC2 232,2024-06-24T00:00:00.000
509783423-002,Sign Permit,Permitted Development,Approved,To install a Fascia Sign limited to On-premises Advertising (CSDP 506413861-002 | A20) (PLATINUM MEDICAL SPA).,12870 - 97 STREET NW,Condo Common Area (Plan 2221739),3260,LAUDERDALE,Anirniq Ward,,3,53.58720784426612,-113.49260827305545,,"{'type': 'Point', 'coordinates': [-113.49260827305545, 53.58720784426612]}",,MU,2024-06-19T00:00:00.000
492033614-002,Major Development Permit,Not Available,Approved,To demolish an existing residential building and construct an Animal Shelter and Hospital building (Granville Veterinary Clinic).,21310 - 98 AVENUE NW,Plan 5496HW Lot 16,4261,LEWIS FARMS BUSINESS EMPLOYMENT,Nakota Isga Ward,,3,53.536851406803805,-113.68689588177165,,"{'type': 'Point', 'coordinates': [-113.68689588177165, 53.536851406803805]}",Industrial,DC,2024-06-13T00:00:00.000
510310230-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia Sign(s) limited to On-premises Advertising (Rosewater Massage & Wellness Clinic),433 - PARSONS ROAD SW,Condo Common Area (Plan 1124803),6214,ELLERSLIE INDUSTRIAL,Karhiio Ward,,3,53.42995724285758,-113.47874433219854,,"{'type': 'Point', 'coordinates': [-113.47874433219854, 53.42995724285758]}",,EIB,2024-06-13T00:00:00.000
507611416-002,Sign Permit,Permitted Development,Approved,To install a Fascia Sign limited to On-premises Advertising (Maple Respiratory Clinic).,"202, 4212 - GATEWAY BOULEVARD NW",Plan 9422309 Blk 5 Lot 4,5120,CALGARY TRAIL SOUTH,papastew Ward,,3,53.478745669076346,-113.49375130581582,,"{'type': 'Point', 'coordinates': [-113.49375130581582, 53.478745669076346]}",,,2024-06-13T00:00:00.000
505540218-002,Sign Permit,Permitted Development,Approved,"To install (2) Fascia Sign(s), and (1) Projecting Sign(s) not in the form of a Roof Sign limited to On-premises Advertising (Childrens Dental Centre).",421 - MISTATIM WAY NW,Condo Common Area (Plan 2120827),4320,MISTATIM INDUSTRIAL,Anirniq Ward,,3,53.60009628493573,-113.58098857577036,,"{'type': 'Point', 'coordinates': [-113.58098857577036, 53.60009628493573]}",,CB,2024-06-10T00:00:00.000
507192607-002,Sign Permit,Permitted Development,Approved,"To install a Fascia Sign limited to On-premises Advertising, and (2) Projecting Signs not in the form of a Roof Sign limited to On-premises Advertising (Qurely Pharmacy & Medical Clinic)",10650 - ELLERSLIE ROAD SW,Plan 8121064 Lot 2,5451,RICHFORD,Ipiihkoohkanipiaohtsi Ward,,3,53.42539651320695,-113.50313696200763,,"{'type': 'Point', 'coordinates': [-113.50313696200763, 53.42539651320695]}",,,2024-06-10T00:00:00.000
507212204-002,Sign Permit,Permitted Development,Approved,To install a Projecting Sign not in the form of a Roof Sign limited to On-premises Advertising (Ellerslie Physiotherapy),10638 - ELLERSLIE ROAD SW,Plan 8121064 Lot 2,5451,RICHFORD,Ipiihkoohkanipiaohtsi Ward,,3,53.42539651320695,-113.50313696200763,,"{'type': 'Point', 'coordinates': [-113.50313696200763, 53.42539651320695]}",,,2024-06-10T00:00:00.000
510334166-002,Sign Permit,Permitted Development,Approved,"To install (1) Fascia Sign limited to On-premises Advertising, and to increase the Copy Area of a Freestanding Sign (ref DP: 275335841-001) limited to On-premises Advertising (ANDAU MEDICAL).",10539 - 169 STREET NW,Plan 9722637 Blk 2 Lot 19C,4660,YOUNGSTOWN INDUSTRIAL,Nakota Isga Ward,,3,53.55093980906942,-113.61216601720194,,"{'type': 'Point', 'coordinates': [-113.61216601720194, 53.55093980906942]}",,IM,2024-06-10T00:00:00.000
504319417-002,Major Development Permit,Permitted Development,Approved,To construct exterior alterations to an exisitng Accessory Surface parking lot to develop an outdoor patio amentiy space to a multi-Use commercial building (Dental Building).,10503 - JASPER AVENUE NW,Plan NB Blk 5 Lots 65-66,1090,DOWNTOWN,O-day'min Ward,Downtown,3,53.540588282094106,-113.50151338897268,,"{'type': 'Point', 'coordinates': [-113.50151338897268, 53.540588282094106]}",Redeveloping,JAMSC,2024-06-07T00:00:00.000
499971429-002,Major Development Permit,Discretionary Development,Approved,"To change the use of an Indoor Sales and Service/Health Service to a  Health Service and Health Care Facility, and construct interior and exterior alterations and an addition to the same. (George Spady Society - detox and residential recovery)",15625 - STONY PLAIN ROAD NW,Plan 9422776 Blk 1 Lot 18,4180,GLENWOOD,Nakota Isga Ward,Stony Plain Road and Area,3,53.54096754357063,-113.59140583259779,,"{'type': 'Point', 'coordinates': [-113.59140583259779, 53.54096754357063]}",Redeveloping,DC,2024-06-05T00:00:00.000
507965193-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-premises Signs (Alliance Dental Venue).,"205, 6830 - ELLERSLIE ROAD SW",Plan 2320638 Blk 1 Lot 11,6211,ELLERSLIE,Karhiio Ward,,3,53.42576568131494,-113.44615570343235,,"{'type': 'Point', 'coordinates': [-113.44615570343235, 53.42576568131494]}",,DC2 1211,2024-05-29T00:00:00.000
508041023-002,Major Development Permit,Permitted Development,Approved,To change the use of an Indoor Sales and Service (Animal Hospital and Shelter) to a Community Service (Religious Assembly - Expand existing mosque).,12940 - 52 STREET NW,Condo Common Area (Plan 9321867),2380,KENNEDALE INDUSTRIAL,Dene Ward,,3,53.58851091418177,-113.42189932108987,,"{'type': 'Point', 'coordinates': [-113.42189932108987, 53.58851091418177]}",Industrial,BE,2024-05-23T00:00:00.000
507106951-002,Sign Permit,Permitted Development,Approved,"To install (2) Fascia On-premises Signs (CSDP 470025698-002 | E13, W8)(Manchester Dental)",10708 - 120 STREET NW,Plan 9223242 Blk 20 Lot 1,1180,QUEEN MARY PARK,O-day'min Ward,124 Street and Area,3,53.55138875696611,-113.52989451249184,,"{'type': 'Point', 'coordinates': [-113.52989451249184, 53.55138875696611]}",,DC2 1070,2024-05-22T00:00:00.000
508174293-002,Major Development Permit,Discretionary Development,Approved,To Change the Use from an Indoor Sales and Service (Major Secondhand Store) to a Health Service and Indoor Sales and Service (Medical Clinic with Pharmacy) and to construct Exterior Alterations (Facade Improvements only),15311 - STONY PLAIN ROAD NW,Plan 5229AD Blk 21 Lots 3-4,4580,WEST JASPER PLACE,Nakota Isga Ward,Stony Plain Road and Area,3,53.5409931911059,-113.58591602054025,,"{'type': 'Point', 'coordinates': [-113.58591602054025, 53.5409931911059]}",Redeveloping,MU,2024-05-22T00:00:00.000
507468988-002,Sign Permit,Permitted Development,Approved,To install (3) Fascia On-premises Signs (Smile Haven Family Dental).,120 - EDGEMONT ROAD NW,Plan 2222438 Blk 1 Lot 59,4462,EDGEMONT,sipiwiyiniwak Ward,,3,53.47689116049036,-113.67017304269677,,"{'type': 'Point', 'coordinates': [-113.67017304269677, 53.47689116049036]}",,DC2 1220,2024-05-22T00:00:00.000
497603261-002,Sign Permit,Not Available,Approved,To install (2) Minor Digital Sign(s) in the form of a Ground Sign limited to On-premises Advertising (McCormack Optomic Centre),6245 - 199 STREET NW,Plan 0323954 Blk 8 Lot 90,4720,GLASTONBURY,sipiwiyiniwak Ward,,3,53.496340271730716,-113.66438409759003,,"{'type': 'Point', 'coordinates': [-113.66438409759003, 53.496340271730716]}",,,2024-05-17T00:00:00.000
500880069-002,Sign Permit,Permitted Development,Approved,"To install (1) Projecting Sign, not in the form of a Roof Sign, limited to On-premises Advertising (PARHAR SHARMA & PAWAN DENTAL GROUP).","10, 13750 - 50 STREET NW",Plan 0520351 Unit 4,2145,CLAREVIEW TOWN CENTRE,Dene Ward,,3,53.59860526977485,-113.41448044633171,,"{'type': 'Point', 'coordinates': [-113.41448044633171, 53.59860526977485]}",,CG,2024-05-16T00:00:00.000
500348326-002,Major Development Permit,Discretionary Development,Approved,"To construct 2 additions to an Extended Medical Treatment Services building (to increase the number of beds to 156), and to construct interior alterations to develop a Health Service Use (seniors drop-in programming space).",1110 - TORY ROAD NW,Plan 0024786 Blk 73 Lot 2,5640,TERWILLEGAR TOWNE,pihêsiwin Ward,,3,53.44947572980062,-113.56674406913106,,"{'type': 'Point', 'coordinates': [-113.56674406913106, 53.44947572980062]}",Redeveloping,DC2,2024-05-16T00:00:00.000
506945207-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia Sign(s) limited to On-premises Advertising (PROCARE PHARMACY & MEDICAL CLINIC),12405 - 107 AVENUE NW,Plan RN22 Blk 29 Lots 19-20,3440,WESTMOUNT,O-day'min Ward,124 Street and Area,3,53.550714993813244,-113.53641411474578,,"{'type': 'Point', 'coordinates': [-113.53641411474578, 53.550714993813244]}",,MU,2024-05-15T00:00:00.000
504247172-002,Major Development Permit,Permitted Development,Approved,To change the main floor and basement of a Health Care building to a Child Care Service (Total Children: 108) and construct interior and exterior alterations.,"100, 9535 - 135 AVENUE NW",Plan 1821281 Blk 26 Lot 33A,2290,GLENGARRY,tastawiyiniwak Ward,,3,53.596467926333375,-113.48994922015056,,"{'type': 'Point', 'coordinates': [-113.48994922015056, 53.596467926333375]}",Redeveloping,CN,2024-05-14T00:00:00.000
509363681-002,Major Development Permit,Permitted Development,Approved,To Expand an existing Child Care Service into an adjacent by by Changing the Use from a Health Service (Chiropractor Clinic) to a Childcare Service and increasing the number of children from 130 to 166,"202, 6879 - AD ASTRA BOULEVARD NW",Plan 1623246 Blk 34 Lot 43,3111,GRIESBACH,Anirniq Ward,,3,53.606646707235015,-113.51544677002605,,"{'type': 'Point', 'coordinates': [-113.51544677002605, 53.606646707235015]}",Redeveloping,MUN,2024-05-14T00:00:00.000
504895038-002,Sign Permit,Permitted Development,Approved,To install (2) Projecting Sign(s) not in the form of a Roof Sign limited to On-premises Advertising (NEXT STEP PHYSIO).,22959 - 97 AVENUE NW,Plan 1922458 Blk 18 Lot 160,4487,SECORD,Nakota Isga Ward,,3,53.53665614713405,-113.71189143269876,,"{'type': 'Point', 'coordinates': [-113.71189143269876, 53.53665614713405]}",,CN,2024-05-13T00:00:00.000
506279088-002,Sign Permit,Permitted Development,Approved,To install a Fascia Sign limited to On-premises Advertising (DiamondView Dental),12712 - 137 AVENUE NW,Plan 8621967 Blk 1 Lot E,3340,PEMBINA,Anirniq Ward,,3,53.59990005326739,-113.54223119952745,,"{'type': 'Point', 'coordinates': [-113.54223119952745, 53.59990005326739]}",,,2024-05-08T00:00:00.000
505538881-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia Sign(s) limited to On-premises Advertising (BIG LAKE DENTAL),"1, 115 - KINGLET BOULEVARD NW",Plan 2220074 Blk 1 Lot 1,4477,KINGLET GARDENS,Nakota Isga Ward,,3,53.57386840251041,-113.69049190980908,,"{'type': 'Point', 'coordinates': [-113.69049190980908, 53.57386840251041]}",,CG,2024-05-07T00:00:00.000
506019305-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia Sign(s) limited to On-premises Advertising (82 DENTAL),"2FL, 8104 - 82 AVENUE NW",Plan 5036S Blk 34 Lots 16-18,6320,IDYLWYLDE,Métis Ward,,3,53.51835697665637,-113.45245848506539,,"{'type': 'Point', 'coordinates': [-113.45245848506539, 53.51835697665637]}",,CN,2024-05-01T00:00:00.000
504442091-002,Major Development Permit,Discretionary Development,Approved,To add a Health Service use to an Indoor Sales and Service (pharmacy and medical clinic) and to construct exterior and interior alterations (removal of doors and window modifications),1660 - 24 STREET NW,Plan 1723002 Blk 13 Lot 1,6444,LAUREL,Sspomitapi Ward,,3,53.44582635338732,-113.3762440047525,,"{'type': 'Point', 'coordinates': [-113.3762440047525, 53.44582635338732]}",Developing,"CN,RM",2024-04-30T00:00:00.000
504888371-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-premises Sign (CSDP 246520431-064) (ZIA PHARMACY).,4456 - CALGARY TRAIL NW,Plan 1820228 Blk 30 Lot 16,5170,EMPIRE PARK,papastew Ward,,3,53.483059140108665,-113.49577287093058,,"{'type': 'Point', 'coordinates': [-113.49577287093058, 53.483059140108665]}",,DC2,2024-04-29T00:00:00.000
506974829-002,Major Development Permit,Permitted Development,Approved,To Change the Use from a Residential Development (2nd Floor Apartment House) and Indoor Sales and Service (Main Floor) to Health Services (Psychology Clinic) and Construct Interior Alterations,10425 - 79 AVENUE NW,Plan 8146ET Blk 31 Lot B,5330,QUEEN ALEXANDRA,papastew Ward,Old Strathcona,3,53.51491793100047,-113.49956096492161,,"{'type': 'Point', 'coordinates': [-113.49956096492161, 53.51491793100047]}",Redeveloping,MU,2024-04-24T00:00:00.000
502915982-006,Major Development Permit,Permitted Development,Approved,To change the Use from Cannabis Retail Sale and expand the existing Health Service to a Health Service and Convenience Retail Store [Indoor Sales and Service] and to construct interior alterations (medical clinic and pharmacy).,11904 - JASPER AVENUE NW,Plan 1525535 Unit 2,1151,WÎHKWÊNTÔWIN,O-day'min Ward,,3,53.54128300745403,-113.52725235265419,,"{'type': 'Point', 'coordinates': [-113.52725235265419, 53.54128300745403]}",Redeveloping,DC2,2024-04-22T00:00:00.000
504571641-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia Sign(s) limited to On-premises Advertising (LEAH V Skin Care and Laser Clinic),5144 - GATEWAY BOULEVARD NW,Plan 1920849 Blk 94 Lot 1B,5110,CALGARY TRAIL NORTH,papastew Ward,,3,53.48908445801692,-113.49282709152936,,"{'type': 'Point', 'coordinates': [-113.49282709152936, 53.48908445801692]}",,CG,2024-04-05T00:00:00.000
504270575-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-premises Sign (Summerside Veterinary),6941 - ELLERSLIE ROAD SW,Plan 1321104 Blk 4 Lot 1A,6213,SUMMERSIDE,Karhiio Ward,,3,53.424248285188725,-113.44475757539979,,"{'type': 'Point', 'coordinates': [-113.44475757539979, 53.424248285188725]}",,DC2 1136,2024-04-05T00:00:00.000
500513624-002,Major Development Permit,Permitted Development,Approved,To add Indoor Sales and Service Use to an existing Vehicle Support Service Use in a multi-use commercial building and to construct interior alterations (Indoor vehicle display area - SMARTY AUTO CLINIC).,9548 - YELLOWHEAD TRAIL NW,Plan 4159HW Lot 19,1270,YELLOWHEAD CORRIDOR EAST,Métis Ward,,6,53.58229904776071,-113.48861577552962,,"{'type': 'Point', 'coordinates': [-113.48861577552962, 53.58229904776071]}",Industrial,BE,2024-04-04T00:00:00.000
502546787-002,Sign Permit,Permitted Development,Approved,To install (1) Fascia Sign(s) limited to On-premises Advertising (FRASER PHYSIOTHERAPY),3820 - 137 AVENUE NW,Plan 0224472 Blk 2 Lot 2,2145,CLAREVIEW TOWN CENTRE,Dene Ward,,3,53.599809412932366,-113.40154127903249,,"{'type': 'Point', 'coordinates': [-113.40154127903249, 53.599809412932366]}",,DC2,2024-03-26T00:00:00.000
504454827-002,Major Development Permit,Discretionary Development,Approved,To change the use from Minor Industrial use to a Health Service and Indoor Sales and Service operating as a Convenience Retail Store (medical clinic and pharmacy),301 - PARSONS ROAD SW,Condo Common Area (Plan 2420498),6214,ELLERSLIE INDUSTRIAL,Karhiio Ward,,4,53.431157036,-113.478820642,,"{'type': 'Point', 'coordinates': [-113.478820642, 53.431157036]}",Industrial,EIB,2024-03-26T00:00:00.000
501957229-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-premises Signs (Revive Spine and Sports Physiotherapy Clinic),5204 - ELLERSLIE ROAD SW,Plan 1921651 Blk 22 Lot 137,6661,CHARLESWORTH,Karhiio Ward,,3,53.42566188798085,-113.42279887696372,,"{'type': 'Point', 'coordinates': [-113.42279887696372, 53.42566188798085]}",,DC1,2024-03-25T00:00:00.000
500064849-002,Sign Permit,Permitted Development,Approved,"To install (10) Fascia Signs limited to On-premises Advertising (Ref CSDP: 500063348-002) (Signs #73, 85, 87, 115-121) (MOVENETICS PHYSIO).",5302 - ADMIRAL GIROUARD STREET NW,Condo Common Area (Plan 2321252),3111,GRIESBACH,Anirniq Ward,,4,53.60030303,-113.513461578,,"{'type': 'Point', 'coordinates': [-113.513461578, 53.60030303]}",,CG,2024-03-12T00:00:00.000
491893343-002,Sign Permit,Permitted Development,Approved,To install (6) Fascia On-Premises Signs (includes 4 illuminated signs in the windows) (DENTAL CHOICE | Whyte Avenue).,10712 - 82 AVENUE NW,Condo Common Area (Plan 9624473),5200,GARNEAU,papastew Ward,Old Strathcona,3,53.5183233739521,-113.50727621250923,,"{'type': 'Point', 'coordinates': [-113.50727621250923, 53.5183233739521]}",,DC1,2024-03-04T00:00:00.000
495825042-002,Sign Permit,Permitted Development,Approved,"To install (2) Fascia Signs, limited to On-premises Advertising (EYES Harvest Hills Optometrist)",5212 - ELLERSLIE ROAD SW,Plan 1921651 Blk 22 Lot 137,6661,CHARLESWORTH,Karhiio Ward,,3,53.42566188798085,-113.42279887696372,,"{'type': 'Point', 'coordinates': [-113.42279887696372, 53.42566188798085]}",,DC1,2024-02-29T00:00:00.000
467207742-014,Major Development Permit,Discretionary Development,Approved,"To change the design of an approved Health Service building (Adding ~71.30sqm to floor area, construct facade changes, ramp, new exit, and landscaping)(Zhang Dental Clinic).",12204 - 48 AVENUE NW,Plan 1800NY Blk 24 Lot 18,5260,LANSDOWNE,papastew Ward,,3,53.48580521168732,-113.54179298747965,,"{'type': 'Point', 'coordinates': [-113.54179298747965, 53.48580521168732]}",Redeveloping,DC2,2024-02-29T00:00:00.000
494413633-002,Major Development Permit,Permitted Development,Approved,To continue to operate a Veterinary Service [Indoor Sales and Service] and to construct an interior addition (new 18.9 m2 mezzanine for storage and hot water tank),6940 - ELLERSLIE ROAD SW,Plan 2320638 Blk 1 Lot 11,6211,ELLERSLIE,Karhiio Ward,,3,53.42576568131494,-113.44615570343235,,"{'type': 'Point', 'coordinates': [-113.44615570343235, 53.42576568131494]}",Developing,DC2,2024-02-12T00:00:00.000
499493169-002,Sign Permit,Permitted Development,Approved,To install (5) Fascia Sign(s) limited to On-premises Advertising (Insight Medical Imaging),2460 - GUARDIAN ROAD NW,Plan 0620602 Blk 14 Lot 12,4720,GLASTONBURY,sipiwiyiniwak Ward,,3,53.509507151804016,-113.6753933732225,,"{'type': 'Point', 'coordinates': [-113.6753933732225, 53.509507151804016]}",,CG,2024-02-05T00:00:00.000
489328928-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Signs (HEALTH PLUS IDA PHARMACY),8117 - 102 STREET NW,Plan I Blk 60 Lots 26-28,6610,RITCHIE,papastew Ward,Old Strathcona,3,53.51734699255945,-113.49341198291802,,"{'type': 'Point', 'coordinates': [-113.49341198291802, 53.51734699255945]}",,,2024-01-31T00:00:00.000
497598111-002,Sign Permit,Permitted Development,Approved,"To install (4) Fascia On-premises Signs (CSDP 444600065-002 | Sign 5,7,8,9) (BOOSTER JUICE | PANAGO | MILLWOODS DENTURE CLINIC | KOFFEE CAFE).",6128 - 28 AVENUE NW,Plan 9121024 Blk 4 Lot 6,6720,TAWA,Karhiio Ward,,3,53.45956587689366,-113.42768683320222,,"{'type': 'Point', 'coordinates': [-113.42768683320222, 53.45956587689366]}",,,2024-01-19T00:00:00.000
496266776-002,Sign Permit,Permitted Development,Approved,To install (3) Fascia Signs limited to On-premises Advertising (McCormack Optometric Centre).,6245 - 199 STREET NW,Plan 0323954 Blk 8 Lot 90,4720,GLASTONBURY,sipiwiyiniwak Ward,,3,53.496340271730716,-113.66438409759003,,"{'type': 'Point', 'coordinates': [-113.66438409759003, 53.496340271730716]}",,CN,2024-01-17T00:00:00.000
480294851-002,Sign Permit,Permitted Development,Approved,To install a Fascia Sign Limited to On-Premises Advertising (CSDP# 397390987-006 | Building D | T1 - 96/95) (JEWEL MEDICAL CLINIC),5340 - ADMIRAL GIROUARD STREET NW,Condo Common Area (Plan 2321252),3111,GRIESBACH,Anirniq Ward,,4,53.60030303,-113.513461578,,"{'type': 'Point', 'coordinates': [-113.513461578, 53.60030303]}",,,2024-01-15T00:00:00.000
494262856-002,Sign Permit,Permitted Development,Approved,To install (3) Fascia On-Premises Sign (HARVEST HILLS DENTAL).,5216 - ELLERSLIE ROAD SW,Plan 1921651 Blk 22 Lot 137,6661,CHARLESWORTH,Karhiio Ward,,3,53.42566188798085,-113.42279887696372,,"{'type': 'Point', 'coordinates': [-113.42279887696372, 53.42566188798085]}",,,2024-01-08T00:00:00.000
486137282-002,Sign Permit,Permitted Development,Approved,To install a Fascia On-Premises Sign (BEAUMARIS HEALTH CENTRE).,14074 - 127 STREET NW,Plan 1221516 Blk B Lot 6,3340,PEMBINA,Anirniq Ward,,3,53.60329027548775,-113.54224290499943,,"{'type': 'Point', 'coordinates': [-113.54224290499943, 53.60329027548775]}",,CB1,2023-12-28T00:00:00.000
481460774-002,Major Development Permit,Permitted Development,Approved,To construct exterior alterations to an Animal Hospital and Shelter building and to expand a parking lot by adding 45 spaces (VCA Canada Guardian).,5620 - 99 STREET NW,Plan 6712KS Blk 14 Lot 1,6100,CORONET INDUSTRIAL,papastew Ward,,3,53.49215887227936,-113.48720121033503,,"{'type': 'Point', 'coordinates': [-113.48720121033503, 53.49215887227936]}",Industrial,IM,2023-12-21T00:00:00.000
493633774-002,Major Development Permit,Permitted Development,Approved,"To construct a 2nd floor addition to a Health Service, Tabani Medical Clinic.",1087 - PARSONS ROAD SW,Plan 2222522 Unit 8,6214,ELLERSLIE INDUSTRIAL,Karhiio Ward,,7,53.42299797329088,-113.47857803358026,,"{'type': 'Point', 'coordinates': [-113.47857803358026, 53.42299797329088]}",Industrial,CG,2023-12-18T00:00:00.000
493943911-002,Sign Permit,Permitted Development,Approved,To install (2) Fascia On-Premises Signs (HUDSON MEDICAL AND PHARMACY).,14072 - 127 STREET NW,Plan 1221516 Blk B Lot 6,3340,PEMBINA,Anirniq Ward,,3,53.60329027548775,-113.54224290499943,,"{'type': 'Point', 'coordinates': [-113.54224290499943, 53.60329027548775]}",,CB1,2023-12-13T00:00:00.000
