city_file_number,permit_type,permit_class,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,ward,bia,land_parcel_count,latitude,longitude,location,geometry_point,neighbourhood_classification,zoning,permit_date
287725701-001,Sign Permit,Permitted Development,Approved,To install a Fascia On-premises Sign (CBI Health Centre).,6103 - CURRENTS DRIVE NW,Plan 0822223 Blk 14 Lot 2,5505,AMBLESIDE,pihêsiwin Ward,,3,53.43601118463307,-113.6033651122865,,"{'type': 'Point', 'coordinates': [-113.6033651122865, 53.43601118463307]}",,UVCa,
451304307-002,Major Development Permit,Not Available,Other,To operate a Health Service (medical laboratory) and to construct interior alterations.,10133 - 103 STREET NW,Plan 8720596 Blk 2 Lot A,1090,DOWNTOWN,O-day'min Ward,Downtown,3,53.54223553602907,-113.49646162455184,,"{'type': 'Point', 'coordinates': [-113.49646162455184, 53.54223553602907]}",Redeveloping,CCA,
449618765-002,Major Development Permit,Not Available,Other,To Operate a Health Service (Physiotherapy) in Units 204 & 206,"204, 1273 - ASTER BOULEVARD NW",Plan 2022819 Blk 9 Lot 1,6445,ASTER,Sspomitapi Ward,,3,53.450060978527006,-113.36725000531322,,"{'type': 'Point', 'coordinates': [-113.36725000531322, 53.450060978527006]}",Developing,CN,
624323824-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service (physiotherapy clinic) and to construct interior alterations,"106, 7319 - 29 AVENUE NW",Plan 2420878 Blk 7 Lot 4B,6340,KAMEYOSEK,Karhiio Ward,,4,53.45925503,-113.444931141,,"{'type': 'Point', 'coordinates': [-113.444931141, 53.45925503]}",Redeveloping,DC2,
481625460-002,Major Development Permit,Not Available,Other,To continue to operate a General Retail Store (pharmacy) and to construct interior alterations,"2, 10502 - 107 AVENUE NW",Condo Common Area (Plan 9323176),1030,CENTRAL MCDOUGALL,O-day'min Ward,North Edge,3,53.5516577155584,-113.50161029814741,,"{'type': 'Point', 'coordinates': [-113.50161029814741, 53.5516577155584]}",Redeveloping,MU,
502314437-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service (dental lab) and to construct interior alterations,"204, 511 - MISTATIM WAY NW",Condo Common Area (Plan 2322577),4320,MISTATIM INDUSTRIAL,Anirniq Ward,,3,53.601488809165104,-113.58153122868852,,"{'type': 'Point', 'coordinates': [-113.58153122868852, 53.601488809165104]}",Industrial,CB,
427054823-002,Major Development Permit,Not Available,Other,To change the use from Specialty Food Service to Health Service with an Accessory Convenience Retail Store and to construct interior alterations (medical clinic with pharmacy),14910 - 45 AVENUE NW,Plan 8221928 Blk 35 Lot 70,5340,RAMSAY HEIGHTS,pihêsiwin Ward,,3,53.48412308240009,-113.57944463153947,,"{'type': 'Point', 'coordinates': [-113.57944463153947, 53.48412308240009]}",Redeveloping,CN,
571782518-002,Major Development Permit,Not Available,Other,"To construct exterior alterations, healing garden, to a Health Care Facility, Misericordia Hospital.",16940 - 87 AVENUE NW,Plan 0726880 Blk 3 Lot 5,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,,3,53.52174794433327,-113.61182470968517,,"{'type': 'Point', 'coordinates': [-113.61182470968517, 53.52174794433327]}",Redeveloping,UF,
631624875-002,Major Development Permit,Not Available,Other,To Change the Use from an Indoor Sales and Service to a Health Service (Dental Clinic),951 - PARSONS ROAD SW,"Plan 2520670 Units 35,43",6214,ELLERSLIE INDUSTRIAL,Karhiio Ward,,8,53.424119036,-113.478231145,,"{'type': 'Point', 'coordinates': [-113.478231145, 53.424119036]}",Industrial,CG,
174736860-023,Sign Permit,Not Available,Other,To develop a Comprehensive Sign Design Plan for (MEDICAL FACILITY ON 95).,11051 - 95 STREET NW,Plan 3169ET Lots 3-5,1140,MCCAULEY,O-day'min Ward,,3,53.55954235790051,-113.48631651867599,,"{'type': 'Point', 'coordinates': [-113.48631651867599, 53.55954235790051]}",,CB1,
670161274-002,Sign Permit,Not Available,In Progress,To install (2) Fascia Sign(s) limited to On-premises Advertising (Pharmasave & Care Plus Medical Clinic),12038 - 48 AVENUE NW,Plan 2422229 Blk 1 Lot 3,5280,MALMO PLAINS,papastew Ward,,4,53.48635404,-113.53948511,,"{'type': 'Point', 'coordinates': [-113.53948511, 53.48635404]}",,,
414522473-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service and to construct interior alterations (chiropractic clinic),555 - MISTATIM WAY NW,Condo Common Area (Plan 2120800),4320,MISTATIM INDUSTRIAL,Anirniq Ward,,3,53.60194873275583,-113.58150954859039,,"{'type': 'Point', 'coordinates': [-113.58150954859039, 53.60194873275583]}",Industrial,CB,
