Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Occupancy_Type,Existing_Residential_Units,Total_End_Residential_Units,Building_Footprint_Area,Number_of_Storeys,Work_Description,Active_Parcel,Date_Inspection_Completed,District,Inspection_Outcome,Overall_Building_Height,Net_New_Units,OBJECTID
BPCOM-2025-18992,3/27/2026 12:00:00 PM,4/10/2026 12:00:00 PM,,4/10/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,4991,936,BEDFORD HWY,BEDFORD,00430140,123479.17,Building - Commercial - Final,Commercial,Clinic,,,1500,1,"Scope of work is limited to:
Renovation of an existing commercial building, Group D major occupancy (medical clinic). Name of business is known as 'Maritime Sleep Clinic'",Y,2026-08-14 12:00:00,District 16,Failed,6,0,10403
BPCOM-2026-00803,2/13/2026 12:00:00 PM,8/14/2026 12:00:00 PM,,8/14/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,187812,2738,CLIFTON ST,HALIFAX,41215385,100000,Building - Commercial - Final,Commercial,Clinic,,,469,3,"Leasehold renovation fitup from base building to IWK Clinic levels 1 & 2.

Note: see BPCOM-2023-16425 & BPCOM-2023-16428 for base building.
Note: see BPCOM-2026-00265 for 3rd floor IWK fitup.",Y,2026-08-17 12:00:00,District 08,Partially Passed,13.4,0,10420
BPCOM-2026-04922,4/21/2026 12:00:00 PM,6/1/2026 12:00:00 PM,,6/1/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,184063,2770,KING ST,HALIFAX,41503343,200000,Building - Plumbing - Commercial - Rough In,Commercial,Service Use,,,3150,3,"Dental Practice - Starting from base building structure and plumbing and electrical rough-in, the scope of this fit-up includes all architectural, mechanical, plumbing, and electrical work as shown on the drawings.",Y,2026-06-19 12:00:00,District 08,Passed,13.1,0,10492
BPCOM-2026-06979,5/28/2026 12:00:00 PM,7/13/2026 12:00:00 PM,,7/13/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,184703,271,JOHN SAVAGE AVE,DARTMOUTH,41540832,5235500,"Building - Commercial - Prior to Drywall - Level 2, Gridlines ABC Only",Commercial,Clinic,,,2890,2,"Scope of Work; Renovation of white-box space to create Offices (Group D) for 'NSHA' (See Base Building Permit BPCOM-2025-11009).

Maximum Occupant Load Reviewed as 288 Persons.",Y,2026-08-25 12:00:00,District 06,Partially Passed,8.98,0,10523
BPCOM-2026-08312,6/23/2026 12:00:00 PM,7/7/2026 12:00:00 PM,,7/7/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,139713,250,BAKER DR,DARTMOUTH,41239914,575000,,Commercial,Clinic,,,3642,2,Leasehold improvements to existing Dental Clinic.,Y,,District 03,,8.53,0,10550
BPCOM-2026-08415,6/23/2026 12:00:00 PM,7/3/2026 12:00:00 PM,,7/3/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,146689,15,KINGS WHARF PL,DARTMOUTH,41391798,80000,,Mixed Use - Residential & Other Use(s),Clinic,88,88,1096,72,"small renovation to an existing commercial unit. constructing 15 lnft of new steel stud and drywall 8' partitions (not full height). installing new cabinets, adding new sink and pump, and upgrading some electrical plugs.",Y,,District 05,,18,0,10553
BPRES-2021-13345,7/22/2021 12:00:00 PM,9/23/2021 12:00:00 PM,,9/23/2023 12:00:00 PM,Residential Building Permit,Renovation,Renovation,Expired,2707,1387,HAMMONDS PLAINS RD,HAMMONDS PLAINS,41425497,600000,Building - Commercial - Final,Dwelling - Single Detached,Clinic,1,1,98.76,2,Restoration of home/business relating to a fire in the fall of 2020  (note separate application will be applied for by others for proposed addition),Y,2022-11-28 12:00:00,District 14,Partially Passed,7.01,0,10758
BPRES-2022-02748,3/3/2022 12:00:00 PM,6/21/2022 12:00:00 PM,4/4/2023 12:00:00 PM,6/21/2024 12:00:00 PM,Residential Building Permit,Addition,Addition,Completed,8498,5798,ST MARGARETS BAY RD,HEAD OF ST MARGARETS BAY,40328171,350000,Building - Plumbing - Prior to Occupancy,Dwelling - Single Detached,Clinic,1,1,104.72,2,Add to Single-Unit Dwelling: Create Attached Garage with Portion for Clinic,Y,2023-04-04 12:00:00,District 13,Passed,7.89,0,11370
BP-2021-02801,2/22/2021 12:00:00 PM,3/3/2021 12:00:00 PM,3/21/2023 12:00:00 PM,3/3/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired (Closed),135865,5743,UNIVERSITY AVE,HALIFAX,41120288,18000,Building - Commercial - Final,Commercial,Service Use,,,280,3,"interior cosmetic renovations to commercial space for physio clinic 
change flooring, paint colors, install interior wall to create large exercise room  Kachan Physiotherapy",Y,2021-08-06 12:00:00,District 07,Passed,30,0,16219
BPCOM-2021-10992,6/11/2021 12:00:00 PM,8/20/2021 12:00:00 PM,5/31/2022 12:00:00 PM,8/20/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,132784,109,WILLIAMS AVE,DARTMOUTH,41142035,205000,Building - Commercial - Final,Commercial,Laboratory / Research Use,,,978,1,Interior renovation only to an existing leasehold building for Gas Stops,Y,2022-04-25 12:00:00,District 06,Passed,6,0,16434
BPCOM-2022-10763,8/4/2022 12:00:00 PM,8/31/2022 12:00:00 PM,11/29/2022 12:00:00 PM,8/31/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,77797,5968,COLLEGE ST,HALIFAX,00055962,450000,Building - Commercial - Final,Institutional and Governmental,Post-Secondary Institution,,,730,4,"Interior renovation with Architectural, Mechanical and Electrical upgrades to office spaces within the Dalhousie Burbidge Pharmacy Building.",Y,2022-11-29 12:00:00,District 07,Passed,14,0,16547
BPCOM-2023-07421,6/9/2023 12:00:00 PM,6/15/2023 12:00:00 PM,7/20/2023 12:00:00 PM,6/15/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,20962,155,CHAIN LAKE DR,HALIFAX,40724288,62000,Building - Commercial - Final,Commercial,Office,,,3000,1,"Scope of work is limited to:
Renovation of an existing commercial building to create a Group D major occupancy (dentist office). Business name is 'Sinclair Dental' and is located in suite 9 & 10.

Note: this permit does not authorize any structural renovations to the existing building.",Y,2023-07-20 12:00:00,District 12,Passed,20,0,16627
BPCOM-2024-06341,5/21/2024 12:00:00 PM,6/24/2024 12:00:00 PM,1/8/2025 12:00:00 PM,6/24/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,114386,2910,LAWRENCETOWN RD,LAWRENCETOWN,00461822,610000,Building - Plumbing - Prior to Occupancy,Commercial,Office,,,285,1,Renovation of Vet Clinic. During renovation there will be multiple modular units temporarily placed in the parking lot.,Y,2024-12-13 12:00:00,District 02,Passed,7,0,16731
BPCOM-2025-02000,2/22/2025 12:00:00 PM,3/7/2025 12:00:00 PM,4/28/2025 12:00:00 PM,3/7/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,47871,202,BROWNLOW AVE,DARTMOUTH,40354375,95000,Building - Commercial - Prior to Drywall,Commercial,Clinic,,,14500,3,Renovate Medical Office for 'Mediora Heath',Y,2025-04-28 12:00:00,District 06,Passed,9.1,0,16812
BPCOM-2025-05004,4/15/2025 12:00:00 PM,6/30/2025 12:00:00 PM,,6/30/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,77305,6025,COBURG RD,HALIFAX,00136606,1000000,Building - Commercial - Prior to Drywall,Mixed Use - Residential & Other Use(s),Clinic,1,1,152.63,3,Renovation of an existing single unit dwelling to create Group D clinic (Luma) & Basement Unit,Y,2026-07-24 12:00:00,District 07,Partially Passed,10.79,0,16838
BPCOM-2026-04572,4/16/2026 12:00:00 PM,5/19/2026 12:00:00 PM,,5/19/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,140869,533,SACKVILLE DR,LOWER SACKVILLE,40346462,208575,Building - Commercial - Firestop,Commercial,Office,,,1533,5,Tenant Fit-up - Commercial Renovation for Munroe Dental Clinic.,Y,2026-06-05 12:00:00,District 15,Passed,15,0,16935
BPCOM-2026-04694,4/17/2026 12:00:00 PM,5/22/2026 12:00:00 PM,,5/22/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,48140,237,BROWNLOW AVE,DARTMOUTH,41053927,950000,Building - Discretionary,Commercial,Clinic,,,750,2,"Scope of work is limited to:
Renovation of an existing commercial building. Location of work is suite #237, 2nd floor level and business name is known as 'Envision Dental'",Y,2026-07-08 12:00:00,District 06,Passed,9,0,16936
BPCOM-2026-07076,5/28/2026 12:00:00 PM,7/23/2026 12:00:00 PM,,7/23/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,67261,7071,BAYERS RD,HALIFAX,40830887,600000,Building - Commercial - Prior to Drywall,Commercial,Office,,,21214,6,"Scope of Work; Renovation of existing commercial space for Blood Collection Clinic (Group D) for 'NSHA.'

Maximum Occupant Load Reviewed as 82 Persons.",Y,2026-08-05 12:00:00,District 09,Passed,20,0,16948
