Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Occupancy_Type,Existing_Residential_Units,Total_End_Residential_Units,Building_Footprint_Area,Number_of_Storeys,Work_Description,Active_Parcel,Date_Inspection_Completed,District,Inspection_Outcome,Overall_Building_Height,Net_New_Units,OBJECTID
BPCOM-2026-08826,6/30/2026 12:00:00 PM,7/13/2026 12:00:00 PM,,7/13/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,41900,800,SACKVILLE DR,LOWER SACKVILLE,41064007,4600000,Building - Plumbing - Underground,Commercial,Clinic,,,2601,1,"Renovation of an existing building to create a medical clinic space. The renovation includes selective demolition, exterior work, new interior walls, new interior finishes.",Y,2026-08-19 12:00:00,District 15,Passed,5.5,0,2645
BPCOM-2026-09270,7/16/2026 12:00:00 PM,7/22/2026 12:00:00 PM,,7/22/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,76815,5991,SPRING GARDEN RD,HALIFAX,00136317,50000,Building - Plumbing - Commercial - Rough In,Commercial,Clinic,,,1409,12,Interior tenant fit up of existing commercial space within a medical center to an infusion medical clinic.,Y,2026-09-01 12:00:00,District 07,Passed,41,0,2646
BP-2021-02596,2/22/2021 12:00:00 PM,4/1/2021 12:00:00 PM,4/6/2023 12:00:00 PM,4/5/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,171629,6,BLOOM LANE,BEDFORD,41478496,330000,Development - Development Agreement,Commercial,Clinic,,,744,1,Interior Leasehold (Dental office) within an existing building,Y,2023-04-06 12:00:00,District 16,Waived,3,0,4177
BP-2021-06005,4/12/2021 12:00:00 PM,6/14/2021 12:00:00 PM,,6/14/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,96516,3060,HIGHWAY 2,FALL RIVER,40381253,370000,Building - Commercial - Final,Commercial,Clinic,,,957,2,New Interior Leasehold for Dental Fit up,Y,2021-11-04 12:00:00,District 01,Passed,6,0,4327
BP-2021-09681,5/25/2021 12:00:00 PM,7/30/2021 12:00:00 PM,,7/30/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,115904,1106,COLE HARBOUR RD,COLE HARBOUR,00406629,97000,Building - Commercial - Final,Commercial,Office,,,386.5,2,Interior renovations to add treatment rooms for a physiotherapy clinic. It includes addition of a bathroom and sinks in the treatment rooms.,Y,2021-09-21 12:00:00,District 04,Failed,10,0,4479
BPCOM-2022-04970,4/22/2022 12:00:00 PM,5/19/2022 12:00:00 PM,12/20/2022 12:00:00 PM,5/19/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,13914,287,LACEWOOD DR,HALIFAX,40594640,450000,Building - Commercial - Final,Commercial,Clinic,,,334,3,Interior Leasehold 'Park West Dental' for a new dental fit up.,Y,2022-12-19 12:00:00,Unidentified,Passed,10.97,0,4625
BPCOM-2022-05049,4/13/2022 12:00:00 PM,5/4/2022 12:00:00 PM,2/23/2024 12:00:00 PM,5/4/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,102546,3288,HIGHWAY 7,LAKE ECHO,40471674,25000,Building - Commercial - Prior to Drywall,Commercial,Clinic,,,658,1,Renovations for vet clinic,Y,2024-02-23 12:00:00,District 02,Passed,3.25,0,4626
BPCOM-2022-05698,5/4/2022 12:00:00 PM,7/6/2022 12:00:00 PM,,7/6/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,47230,1095,BEDFORD HWY,BEDFORD,00434878,100000,,Commercial,Clinic,,,748,4,"Cellular antennas to be installed on the rooftop of an existing building, equipment in leasehold space. Rooftop & leasehold space",Y,,District 16,,12,0,4632
BPCOM-2022-05810,5/3/2022 12:00:00 PM,6/30/2022 12:00:00 PM,,6/30/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,14643,278,LACEWOOD DR,HALIFAX,00345033,850000,Building - Commercial - Final,Commercial,Retail Use,,,9994,1,Interior renovations of an existing Shoppers Drug Mart Pharmacy,Y,2022-09-21 12:00:00,District 10,Passed,5.8,0,4634
BPCOM-2022-06174,5/3/2022 12:00:00 PM,6/17/2022 12:00:00 PM,5/6/2024 12:00:00 PM,6/17/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,62116,45,ALDERNEY DR,DARTMOUTH,00108324,125000,Building - Commercial - Final,Commercial,Clinic,,,21367,18,"Interior renovation to create medical clinic for Dr Frenette, Dr Stone and Dr Vair.",Y,2024-05-06 12:00:00,District 05,Passed,55,0,4637
BPCOM-2022-08056,6/7/2022 12:00:00 PM,8/3/2022 12:00:00 PM,,8/3/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,173701,84,HOGAN CRT,BEDFORD,00360511,12000,Building - Commercial - Prior to Drywall,Commercial,Clinic,,,710,2,"Scope of work is limited to:
Renovation to an existing commercial building to create a new Group D - massage therapy clinic in Unit D-4.

Note: refer to a base bldg. permit is 186354 for additional information.",Y,2022-08-10 12:00:00,District 16,Passed,6,0,4648
BPCOM-2022-08436,6/13/2022 12:00:00 PM,7/27/2022 12:00:00 PM,,7/27/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,57501,650,PORTLAND ST,DARTMOUTH,40685943,78000,Building - Commercial - Final,Commercial,Clinic,,,23000,2,Interior renovations to 'Lifemark Physiotherapy' clinic,Y,2024-04-29 12:00:00,District 03,Failed,9,0,4650
BPCOM-2022-09168,6/28/2022 12:00:00 PM,7/20/2022 12:00:00 PM,6/29/2023 12:00:00 PM,7/20/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,65716,6080,YOUNG ST,HALIFAX,00004069,259000,Building - Commercial - Final,Commercial,Clinic,,,14400,10,"Scope of work is limited to:
Office fit up, demolition, construction of new offices and finishes - suites 1001 and 1002 located on the 10th floor level.

Note: this permit does not authorize renovation of the building's fire suppression and alarm systems.",Y,2023-06-29 12:00:00,District 08,Passed,42.62,0,4657
BPCOM-2022-09669,7/8/2022 12:00:00 PM,7/27/2022 12:00:00 PM,3/23/2023 12:00:00 PM,7/27/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,3853,36,BROOKSHIRE CRT,BEDFORD,40690380,83751.79,Development - Development Agreement,Commercial,Clinic,,,1573,2,Renovation of an existing commercial building to create office.,Y,2023-03-23 12:00:00,District 16,Waived,9.8,0,4663
BPCOM-2023-02244,3/7/2023 12:00:00 PM,3/21/2023 12:00:00 PM,7/21/2023 12:00:00 PM,3/21/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,108681,245,WAVERLEY RD,DARTMOUTH,40638686,505000,Building - Plumbing - Prior to Occupancy,Commercial,Clinic,,,1223,2,Commercial fit-up in an existing building for Dental Clinic TranscenDental Group,Y,2023-07-21 12:00:00,District 06,Passed,7.5,0,4748
BPCOM-2023-03726,4/13/2023 12:00:00 PM,5/5/2023 12:00:00 PM,2/12/2024 12:00:00 PM,5/5/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,69309,2131,GOTTINGEN ST,HALIFAX,40623886,500000,Development - Development Agreement,Commercial,Clinic,,,1115,5,"Renovation of the 1st and 5th floors to reconfigure our space

North End Community Health Centre",Y,2024-02-12 12:00:00,District 08,Waived,15,0,4764
BPCOM-2023-03837,4/4/2023 12:00:00 PM,4/19/2023 12:00:00 PM,,4/19/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,139841,3430,JOSEPH HOWE DR,HALIFAX,00181586,101000,Building - Plumbing - Commercial - Rough In,Commercial,Retail Use,,,2361,1,Renovate to add Consultation Room to Pharmacy Area,Y,2023-05-04 12:00:00,District 10,Partially Passed,5.5,0,4766
