"FOLDERNUMBER","FOLDERTYPE","REPORTCODE","FOLDERSTATUS","APPLICATIONDATE","APPROVEDAPPLICATIONDATE","ISSUEDDATE","COMPLETEDDATE","ROLLNUMBER","NEIGHBOURHOOD","STATSCANADABUILDINGCODE","STATSCANADABUILDINGCODEDESC","STATSCANADAWORKCODE","STATSCANADAWORKCODEDESC","STATSCANADAUNITSCREATED","STATSCANADAUNITSLOST","BUILDINGAREAM2","UNIT","HOUSE","STREET","ADDRESS","PLAN","BLOCK","LOT","LEGAL","PROPERTY_NUMBER","CONSTRUCTIONVALUE"
"BP012416","BUILDING - RESIDENTIAL","NEW 2 UNIT","COMPLETED","5/10/2012 12:00:00 AM","5/28/2012 12:00:00 AM","5/28/2012 12:00:00 AM","1/30/2013 12:00:00 AM","2066700930001","SUNRIDGE","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","1.00000000","","66.43000000","","93","MT SUNDIAL CRT W","93 MT SUNDIAL CRT W","1113211","6","68","PLAN 1113211 BLOCK 6 LOT 68","460930","71110.00000000"
"BP012417","BUILDING - RESIDENTIAL","NEW 2 UNIT","COMPLETED","5/10/2012 12:00:00 AM","5/28/2012 12:00:00 AM","5/28/2012 12:00:00 AM","1/30/2013 12:00:00 AM","2066700950001","SUNRIDGE","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","1.00000000","","66.43000000","","95","MT SUNDIAL CRT W","95 MT SUNDIAL CRT W","1113211","6","69","PLAN 1113211 BLOCK 6 LOT 69","460931","71110.00000000"
"BP012418","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/10/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","12/13/2012 12:00:00 AM","2066700850001","SUNRIDGE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","87.79000000","","85","MT SUNDIAL CRT W","85 MT SUNDIAL CRT W","1113211","6","66","PLAN 1113211 BLOCK 6 LOT 66","460928","97048.00000000"
"BP012419","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/10/2012 12:00:00 AM","5/25/2012 12:00:00 AM","5/25/2012 12:00:00 AM","11/28/2012 12:00:00 AM","2066700890001","SUNRIDGE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","104.42000000","","89","MT SUNDIAL CRT W","89 MT SUNDIAL CRT W","1113211","6","67","PLAN 1113211 BLOCK 6 LOT 67","460929","75152.00000000"
"BP012420","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/10/2012 12:00:00 AM","5/29/2012 12:00:00 AM","5/29/2012 12:00:00 AM","12/27/2012 12:00:00 AM","2010709730001","THE CANYONS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","103.03000000","","973","CANYONVIEW PL W","973 CANYONVIEW PL W","1014809","10","39","PLAN 1014809 BLOCK 10 LOT 39","460001","219080.00000000"
"BP012421","BUILDING - COMMERCIAL","RENO","COMPLETED","5/10/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","4/25/2013 12:00:00 AM","2025204010001","WEST HIGHLANDS","520","OFFICE BLDG","03","ALTERATIONS/IMPROVEMENTS","","","476.00000000","","409","HIGHLANDS BLVD W","409 HIGHLANDS BLVD W","","","","","460648","500000.00000000"
"BP012422","BUILDING - COMMERCIAL","RENO","COMPLETED","5/10/2012 12:00:00 AM","5/30/2012 12:00:00 AM","6/13/2012 12:00:00 AM","1/15/2013 12:00:00 AM","1204007190001","DOWNTOWN","540","RESTAURANT / BAR","03","ALTERATIONS/IMPROVEMENTS","","","128.00000000","","721","4 AVE S","721 4 AVE S","","","","","454734","36000.00000000"
"BP012423","BUILDING - COMMERCIAL","OTHER","COMPLETED","5/10/2012 12:00:00 AM","5/10/2012 12:00:00 AM","5/10/2012 12:00:00 AM","12/30/2014 12:00:00 AM","4123019050001","PARK MEADOWS","310","APARTMENT / TRIPLEX / UP DOWN DUPLEX","03","ALTERATIONS/IMPROVEMENTS","0.00000000","","0.00000000","","1905","23 ST N","1905 23 ST N","731093","22","12","PLAN 731093 BLOCK 22 LOT 12","255762","114000.00000000"
"BP012424","BUILDING - RESIDENTIAL","DECK","COMPLETED","5/11/2012 12:00:00 AM","5/11/2012 12:00:00 AM","5/11/2012 12:00:00 AM","5/24/2012 12:00:00 AM","2062804380001","INDIAN BATTLE HEIGHTS","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","4.09000000","","438","SQUAMISH LANE W","438 SQUAMISH LANE W","0211940","16","4","PLAN 0211940 BLOCK 16 LOT 4","392129","748.00000000"
"BP012425","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/11/2012 12:00:00 AM","5/28/2012 12:00:00 AM","5/28/2012 12:00:00 AM","3/14/2013 12:00:00 AM","2028909240001","COPPERWOOD","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","89.83000000","","924","KEYSTONE MEADOWS W","924 KEYSTONE MEADOWS W","1112491","19","11","PLAN 1112491 BLOCK 19 LOT 11","460665","98096.00000000"
